season,team,date,competition,home_away,opponent,metodo_nome,pagina
1920,Wolves,2019-12-12,Europa League,H,Beşiktaş,canonical_team,2019–20 UEFA Europa League group stage
1920,Arsenal,2020-02-20,Europa League,A,Olympiacos,canonical_team,2019–20 UEFA Europa League knockout phase
1920,Man United,2020-02-20,Europa League,A,Club Brugge,canonical_team,2019–20 UEFA Europa League knockout phase
1920,Wolves,2020-02-20,Europa League,H,Espanyol,canonical_team,2019–20 UEFA Europa League knockout phase
1920,Arsenal,2020-02-27,Europa League,H,Olympiacos,canonical_team,2019–20 UEFA Europa League knockout phase
1920,Man United,2020-02-27,Europa League,H,Club Brugge,canonical_team,2019–20 UEFA Europa League knockout phase
1920,Wolves,2020-02-27,Europa League,A,Espanyol,canonical_team,2019–20 UEFA Europa League knockout phase
1920,Man United,2020-03-12,Europa League,A,LASK,canonical_team,2019–20 UEFA Europa League knockout phase
1920,Wolves,2020-03-12,Europa League,A,Olympiacos,canonical_team,2019–20 UEFA Europa League knockout phase
1920,Man United,2020-08-05,Europa League,H,LASK,canonical_team,2019–20 UEFA Europa League knockout phase
1920,Wolves,2020-08-06,Europa League,H,Olympiacos,canonical_team,2019–20 UEFA Europa League knockout phase
1920,Man United,2020-08-10,Europa League,H,Copenhagen,canonical_team,2019–20 UEFA Europa League knockout phase
1920,Wolves,2020-08-11,Europa League,H,Sevilla,canonical_team,2019–20 UEFA Europa League knockout phase
1920,Man United,2020-08-16,Europa League,A,Sevilla,canonical_team,2019–20 UEFA Europa League knockout phase
2526,Nott'm Forest,2025-09-24,Europa League,A,Real Betis,canonical_team,2025–26 UEFA Europa League league phase
2526,Aston Villa,2025-09-25,Europa League,H,Bologna,canonical_team,2025–26 UEFA Europa League league phase
2526,Aston Villa,2025-10-02,Europa League,A,Feyenoord,canonical_team,2025–26 UEFA Europa League league phase
2526,Nott'm Forest,2025-10-02,Europa League,H,Midtjylland,canonical_team,2025–26 UEFA Europa League league phase
2526,Aston Villa,2025-10-23,Europa League,A,Go Ahead Eagles,canonical_team,2025–26 UEFA Europa League league phase
2526,Nott'm Forest,2025-10-23,Europa League,H,Porto,canonical_team,2025–26 UEFA Europa League league phase
2526,Aston Villa,2025-11-06,Europa League,H,Maccabi Tel Aviv,canonical_team,2025–26 UEFA Europa League league phase
2526,Nott'm Forest,2025-11-06,Europa League,A,Sturm Graz,canonical_team,2025–26 UEFA Europa League league phase
2526,Aston Villa,2025-11-27,Europa League,H,Young Boys,canonical_team,2025–26 UEFA Europa League league phase
2526,Nott'm Forest,2025-11-27,Europa League,H,Malmö FF,canonical_team,2025–26 UEFA Europa League league phase
2526,Aston Villa,2025-12-11,Europa League,A,Basel,canonical_team,2025–26 UEFA Europa League league phase
2526,Nott'm Forest,2025-12-11,Europa League,A,Utrecht,canonical_team,2025–26 UEFA Europa League league phase
2526,Aston Villa,2026-01-22,Europa League,A,Fenerbahçe,canonical_team,2025–26 UEFA Europa League league phase
2526,Nott'm Forest,2026-01-22,Europa League,A,Braga,canonical_team,2025–26 UEFA Europa League league phase
2526,Aston Villa,2026-01-29,Europa League,H,Red Bull Salzburg,canonical_team,2025–26 UEFA Europa League league phase
2526,Nott'm Forest,2026-01-29,Europa League,H,Ferencváros,canonical_team,2025–26 UEFA Europa League league phase
2526,Nott'm Forest,2026-02-19,Europa League,A,Fenerbahçe,canonical_team,2025–26 UEFA Europa League knockout phase
2526,Nott'm Forest,2026-02-26,Europa League,H,Fenerbahçe,canonical_team,2025–26 UEFA Europa League knockout phase
2526,Aston Villa,2026-03-12,Europa League,A,Lille,canonical_team,2025–26 UEFA Europa League knockout phase
2526,Nott'm Forest,2026-03-12,Europa League,H,Midtjylland,canonical_team,2025–26 UEFA Europa League knockout phase
2526,Aston Villa,2026-03-19,Europa League,H,Lille,canonical_team,2025–26 UEFA Europa League knockout phase
2526,Nott'm Forest,2026-03-19,Europa League,A,Midtjylland,canonical_team,2025–26 UEFA Europa League knockout phase
2526,Aston Villa,2026-04-09,Europa League,A,Bologna,canonical_team,2025–26 UEFA Europa League knockout phase
2526,Nott'm Forest,2026-04-09,Europa League,A,Porto,canonical_team,2025–26 UEFA Europa League knockout phase
2526,Aston Villa,2026-04-16,Europa League,H,Bologna,canonical_team,2025–26 UEFA Europa League knockout phase
2526,Nott'm Forest,2026-04-16,Europa League,H,Porto,canonical_team,2025–26 UEFA Europa League knockout phase
2526,Aston Villa,2026-04-30,Europa League,A,Nott'm Forest,canonical_team,2025–26 UEFA Europa League knockout phase
2526,Nott'm Forest,2026-04-30,Europa League,H,Aston Villa,canonical_team,2025–26 UEFA Europa League knockout phase
2526,Aston Villa,2026-05-07,Europa League,H,Nott'm Forest,canonical_team,2025–26 UEFA Europa League knockout phase
2526,Nott'm Forest,2026-05-07,Europa League,A,Aston Villa,canonical_team,2025–26 UEFA Europa League knockout phase
2526,Aston Villa,2026-05-20,Europa League,A,SC Freiburg,canonical_team,2026 UEFA Europa League final
