Competizione,Turno,Data,Casa,Ospite,Periodo,Lato,Squadra,ID partita,Goal previsti (xG),Possesso palla,Tiri totali,Tiri in porta,Grandi occasioni,Calci d'angolo,Passaggi,Cartellini gialli,Cartellini rossi,xG sui Tiri in porta (xGOT),Tiri fuori,Tiri fermati,Tiri dall'area di rigore,Tiri da fuori area,Pali colpiti,Gol di testa,Palloni toccati nell'area avversaria,Passaggi filtranti riusciti,Fuorigioco,Punizioni,Passaggi lunghi,Passaggi offensivi,Cross,Assist previsti (xA),Rimesse Laterali,Falli,Tackles,Contrasti vinti,Respinte difensive,Palle intercettate,Errori che hanno portato al tiro,Errori che hanno portato al gol,Parate,xGot affrontati,Gol evitati
FA Cup,3° turno,10.01.2026,Wolves,Shrewsbury,1° tempo,Ospite,Shrewsbury,xv5vnRQG,0.84,31%,3,1,1,1,82% (136/166),1.0,,0.9,1,1,2,1,0,,7,0,0,3,23% (5/22),50% (15/30),20% (1/5),0.22,6,6,100% (4/4),15,12,9,0,1,0,2.76,-0.24
FA Cup,3° turno,10.01.2026,Wolves,Shrewsbury,2° tempo,Casa,Wolves,xv5vnRQG,2.77,68%,13,7,6,5,93% (304/328),1.0,,3.1,3,3,7,6,1,,19,1,0,6,67% (4/6),84% (79/94),10% (1/10),2.28,8,6,86% (6/7),17,7,3,0,0,0,0.0,0.0
FA Cup,3° turno,10.01.2026,Wolves,Shrewsbury,2° tempo,Ospite,Shrewsbury,xv5vnRQG,0.12,32%,3,1,0,1,81% (128/159),1.0,,0.0,1,1,1,2,0,,3,0,0,6,38% (12/32),47% (16/34),0% (0/3),0.09,8,6,86% (6/7),20,12,4,0,0,4,3.1,0.1
FA Cup,3° turno,10.01.2026,Macclesfield,Crystal Palace,Totale,Casa,Macclesfield,4S3fD3PF,0.82,29%,13,4,1,2,49% (103/209),2.0,,1.34,5,4,4,9,0,1.0,15,0,0,13,24% (17/71),38% (34/89),7% (1/14),0.32,24,8,55% (11/20),62,52,7,0,0,3,1.0,0.0
FA Cup,3° turno,10.01.2026,Macclesfield,Crystal Palace,Totale,Ospite,Crystal Palace,4S3fD3PF,0.78,71%,12,4,3,3,81% (433/534),2.0,,1.0,6,2,8,4,0,0.0,21,0,7,8,51% (28/55),71% (108/152),12% (3/26),0.6,19,13,50% (8/16),63,35,6,3,0,2,1.34,-0.66
FA Cup,3° turno,10.01.2026,Macclesfield,Crystal Palace,1° tempo,Casa,Macclesfield,4S3fD3PF,0.12,30%,4,2,0,0,55% (66/120),1.0,,0.46,2,0,1,3,0,1.0,3,0,0,4,29% (10/34),39% (18/46),13% (1/8),0.13,10,5,22% (2/9),24,17,3,0,0,0,0.0,0.0
FA Cup,3° turno,10.01.2026,Macclesfield,Crystal Palace,1° tempo,Ospite,Crystal Palace,4S3fD3PF,0.17,70%,3,0,2,0,83% (247/297),0.0,,0.0,3,0,2,1,0,0.0,8,0,4,5,62% (16/26),74% (52/70),0% (0/8),0.12,8,4,60% (3/5),33,15,1,1,0,1,0.46,-0.54
FA Cup,3° turno,10.01.2026,Macclesfield,Crystal Palace,2° tempo,Casa,Macclesfield,4S3fD3PF,0.7,27%,9,2,1,2,42% (37/89),1.0,,0.88,3,4,3,6,0,,12,0,0,9,19% (7/37),37% (16/43),0% (0/6),0.19,14,3,82% (9/11),38,35,4,0,0,3,1.0,0.0
FA Cup,3° turno,10.01.2026,Macclesfield,Crystal Palace,2° tempo,Ospite,Crystal Palace,4S3fD3PF,0.61,73%,9,4,1,3,78% (186/237),2.0,,1.0,3,2,6,3,0,,13,0,3,3,41% (12/29),68% (56/82),17% (3/18),0.48,11,9,45% (5/11),30,20,5,2,0,1,0.88,-0.12
FA Cup,3° turno,10.01.2026,Newcastle,Bournemouth,Totale,Casa,Newcastle,K4ewNJil,3.91,63%,23,7,10,7,85% (588/688),1.0,,3.61,14,2,17,6,1,1.0,68,1,2,21,50% (31/62),79% (165/209),36% (13/36),3.84,23,7,70% (14/20),79,37,11,5,1,10,3.32,0.32
FA Cup,3° turno,10.01.2026,Newcastle,Bournemouth,Totale,Ospite,Bournemouth,K4ewNJil,3.02,37%,22,13,7,5,73% (301/413),5.0,,3.32,6,3,14,8,0,0.0,31,4,1,7,30% (27/89),55% (72/132),11% (2/18),1.52,30,21,40% (8/20),61,57,13,0,0,4,3.61,0.61
FA Cup,3° turno,10.01.2026,Newcastle,Bournemouth,1° tempo,Casa,Newcastle,K4ewNJil,0.98,63%,6,2,2,4,84% (223/267),,,1.49,4,0,5,1,0,,28,0,1,3,48% (10/21),75% (64/85),10% (1/10),1.09,11,3,64% (7/11),24,11,4,1,0,4,0.22,0.22
FA Cup,3° turno,10.01.2026,Newcastle,Bournemouth,1° tempo,Ospite,Bournemouth,K4ewNJil,0.14,37%,6,3,0,3,72% (115/160),,,0.22,2,1,2,4,0,,7,0,0,3,29% (10/35),47% (20/43),20% (1/5),0.18,12,3,67% (4/6),23,24,5,0,0,2,1.49,1.49
FA Cup,3° turno,10.01.2026,Newcastle,Bournemouth,2° tempo,Casa,Newcastle,K4ewNJil,1.83,59%,11,4,4,3,84% (200/239),1.0,,1.24,6,1,7,4,1,,28,0,1,12,48% (13/27),80% (56/70),54% (7/13),1.26,8,2,75% (6/8),41,16,5,2,0,3,1.9,-0.1
FA Cup,3° turno,10.01.2026,Newcastle,Bournemouth,2° tempo,Ospite,Bournemouth,K4ewNJil,1.61,41%,10,5,2,1,73% (124/170),4.0,,1.9,3,2,6,4,0,,13,2,1,2,25% (9/36),57% (33/58),17% (1/6),0.58,9,12,25% (2/8),23,22,6,0,0,2,1.24,-0.76
FA Cup,3° turno,10.01.2026,Newcastle,Bournemouth,Supplementari,Casa,Newcastle,K4ewNJil,1.1,69%,6,1,4,0,91% (165/182),0.0,,0.88,4,1,5,1,0,1.0,12,1,0,6,57% (8/14),83% (45/54),38% (5/13),1.49,4,2,100% (1/1),14,10,2,2,1,3,1.2,0.2
FA Cup,3° turno,10.01.2026,Newcastle,Bournemouth,Supplementari,Ospite,Bournemouth,K4ewNJil,1.27,31%,6,5,5,1,75% (62/83),1.0,,1.2,1,0,6,0,0,0.0,11,2,0,2,44% (8/18),61% (19/31),0% (0/7),0.76,9,6,33% (2/6),15,11,2,0,0,0,0.88,-0.12
FA Cup,3° turno,10.01.2026,Manchester City,Exeter,Totale,Casa,Manchester City,YuauwWsn,2.34,72%,21,10,4,7,91% (712/780),0.0,,4.05,4,7,10,11,0,1.0,45,3,1,10,69% (18/26),82% (208/253),33% (3/9),2.36,11,8,86% (6/7),38,8,12,1,0,1,1.31,0.31
FA Cup,3° turno,10.01.2026,Manchester City,Exeter,Totale,Ospite,Exeter,YuauwWsn,0.67,28%,7,2,3,3,77% (227/294),1.0,,1.31,4,1,5,2,0,0.0,9,1,3,8,45% (23/51),66% (27/41),50% (4/8),0.33,9,10,29% (5/17),32,21,16,1,0,2,4.05,-3.95
FA Cup,3° turno,10.01.2026,Manchester City,Exeter,1° tempo,Casa,Manchester City,YuauwWsn,0.57,72%,8,3,1,4,90% (394/436),,,1.0,1,4,2,6,0,,21,2,0,5,67% (8/12),79% (115/145),14% (1/7),0.79,4,4,75% (3/4),21,1,6,1,0,1,0.74,0.74
FA Cup,3° turno,10.01.2026,Manchester City,Exeter,1° tempo,Ospite,Exeter,YuauwWsn,0.4,28%,3,1,2,2,78% (128/164),,,0.74,1,1,3,0,0,,5,1,2,4,37% (10/27),67% (10/15),33% (1/3),0.18,5,5,17% (1/6),12,14,11,1,0,1,1.0,-1.0
FA Cup,3° turno,10.01.2026,Manchester City,Exeter,2° tempo,Casa,Manchester City,YuauwWsn,1.77,71%,13,7,3,3,92% (318/344),0.0,,3.05,3,3,8,5,0,1.0,24,1,1,5,71% (10/14),86% (93/108),100% (2/2),1.57,7,4,100% (3/3),17,7,6,0,0,0,0.57,-0.43
FA Cup,3° turno,10.01.2026,Manchester City,Exeter,2° tempo,Ospite,Exeter,YuauwWsn,0.27,29%,4,1,1,1,76% (99/130),1.0,,0.57,3,0,2,2,0,0.0,4,0,1,4,54% (13/24),65% (17/26),60% (3/5),0.15,4,5,36% (4/11),20,7,5,0,0,1,3.05,-2.95
FA Cup,3° turno,10.01.2026,Sheffield Wed,Brentford,Totale,Casa,Sheffield Wed,hjVzS5Zp,0.37,35%,6,3,1,2,74% (250/338),,,0.53,2,1,3,3,0,,10,0,2,4,29% (19/65),56% (36/64),0% (0/7),0.28,13,8,81% (13/16),36,22,16,0,0,9,4.94,2.94
FA Cup,3° turno,10.01.2026,Sheffield Wed,Brentford,Totale,Ospite,Brentford,hjVzS5Zp,4.55,65%,20,11,7,6,88% (563/640),,,4.94,5,4,15,5,2,,41,2,3,8,64% (28/44),76% (134/177),47% (9/19),2.78,21,4,45% (5/11),43,14,7,0,0,3,0.53,0.53
