Competizione,Turno,Data,Casa,Ospite,Lato,Squadra,Modulo,Gruppo,Ordine,Numero,Giocatore,Ruolo,Rating,Entrato al,Uscito al,ID partita
FA Cup,3° turno,09.01.2026,Preston,Wigan,Ospite,Wigan,3-4-2-1,Panchina,2,27,Brenan T.,,,,,zZW42nBc
FA Cup,3° turno,09.01.2026,Preston,Wigan,Ospite,Wigan,3-4-2-1,Panchina,3,35,Francois T.,,,,,zZW42nBc
FA Cup,3° turno,09.01.2026,Preston,Wigan,Ospite,Wigan,3-4-2-1,Panchina,4,45,Llyton C.,,,,,zZW42nBc
FA Cup,3° turno,09.01.2026,Preston,Wigan,Ospite,Wigan,3-4-2-1,Panchina,5,20,McManaman C.,,,,,zZW42nBc
FA Cup,3° turno,09.01.2026,Preston,Wigan,Ospite,Wigan,3-4-2-1,Panchina,6,46,Moseley A.,,,,,zZW42nBc
FA Cup,3° turno,09.01.2026,Preston,Wigan,Ospite,Wigan,3-4-2-1,Panchina,7,30,Savin T.,Portiere,,,,zZW42nBc
FA Cup,3° turno,09.01.2026,Preston,Wigan,Ospite,Wigan,3-4-2-1,Panchina,8,9,Saydee C.,,,90+1',,zZW42nBc
FA Cup,3° turno,09.01.2026,Preston,Wigan,Ospite,Wigan,3-4-2-1,Panchina,9,5,Sessegnon S.,,,,,zZW42nBc
FA Cup,3° turno,09.01.2026,Milton Keynes,Oxford Utd,Casa,Milton Keynes,3-1-4-2,Titolare,1,1,MacGillivray C.,Portiere,7.6,,,femlyACb
FA Cup,3° turno,09.01.2026,Milton Keynes,Oxford Utd,Casa,Milton Keynes,3-1-4-2,Titolare,2,2,Jones G.,,7.0,,98',femlyACb
FA Cup,3° turno,09.01.2026,Milton Keynes,Oxford Utd,Casa,Milton Keynes,3-1-4-2,Titolare,3,32,Sanders J.,,7.6,,,femlyACb
FA Cup,3° turno,09.01.2026,Milton Keynes,Oxford Utd,Casa,Milton Keynes,3-1-4-2,Titolare,4,15,Offord L.,Capitano,6.9,,,femlyACb
FA Cup,3° turno,09.01.2026,Milton Keynes,Oxford Utd,Casa,Milton Keynes,3-1-4-2,Titolare,5,20,Thompson-Sommers K.,,6.5,,72',femlyACb
FA Cup,3° turno,09.01.2026,Milton Keynes,Oxford Utd,Casa,Milton Keynes,3-1-4-2,Titolare,6,24,Lemonheigh-Evans C.,,7.3,,,femlyACb
