Competizione,Turno,Data,Casa,Ospite,Periodo,Minuto,Lato,Tipo evento,Giocatore,Punteggio dopo,ID partita
FA Cup,3° turno,09.01.2026,Preston,Wigan,2 Tempo,65',Casa,Sostituzione - Entra,Osmajic M.,,zZW42nBc
FA Cup,3° turno,09.01.2026,Preston,Wigan,2 Tempo,71',Ospite,Cartellino Giallo,Costelloe D.,,zZW42nBc
FA Cup,3° turno,09.01.2026,Preston,Wigan,2 Tempo,72',Casa,Sostituzione - Esce,Dobbin L.,,zZW42nBc
FA Cup,3° turno,09.01.2026,Preston,Wigan,2 Tempo,72',Casa,Sostituzione - Entra,Devine A.,,zZW42nBc
FA Cup,3° turno,09.01.2026,Preston,Wigan,2 Tempo,75',Ospite,Gol,Bettoni H.,0-1,zZW42nBc
FA Cup,3° turno,09.01.2026,Preston,Wigan,2 Tempo,75',Ospite,Assist,Wright C.,0-1,zZW42nBc
FA Cup,3° turno,09.01.2026,Preston,Wigan,2 Tempo,78',Ospite,Sostituzione - Esce,Bettoni H.,,zZW42nBc
FA Cup,3° turno,09.01.2026,Preston,Wigan,2 Tempo,78',Ospite,Sostituzione - Entra,Asamoah M.,,zZW42nBc
FA Cup,3° turno,09.01.2026,Preston,Wigan,2 Tempo,81',Casa,Sostituzione - Esce,Lindsay L.,,zZW42nBc
FA Cup,3° turno,09.01.2026,Preston,Wigan,2 Tempo,81',Casa,Sostituzione - Entra,Potts B.,,zZW42nBc
FA Cup,3° turno,09.01.2026,Preston,Wigan,2 Tempo,84',Ospite,Rigore Assegnato,Wright C.,,zZW42nBc
FA Cup,3° turno,09.01.2026,Preston,Wigan,2 Tempo,84',Ospite,Rigore sbagliato,Wright C.,,zZW42nBc
FA Cup,3° turno,09.01.2026,Preston,Wigan,2 Tempo,90+1',Ospite,Sostituzione - Esce,Costelloe D.,,zZW42nBc
FA Cup,3° turno,09.01.2026,Preston,Wigan,2 Tempo,90+1',Ospite,Sostituzione - Entra,Saydee C.,,zZW42nBc
FA Cup,3° turno,09.01.2026,Preston,Wigan,2 Tempo,90+3',Casa,Cartellino Giallo,Thompson J.,,zZW42nBc
FA Cup,3° turno,09.01.2026,Milton Keynes,Oxford Utd,1 Tempo,17',Ospite,Sostituzione - Esce,Donley J.,,femlyACb
FA Cup,3° turno,09.01.2026,Milton Keynes,Oxford Utd,1 Tempo,17',Ospite,Sostituzione - Entra,Peart-Harris M.,,femlyACb
FA Cup,3° turno,09.01.2026,Milton Keynes,Oxford Utd,1 Tempo,34',Casa,Gol,Collins A.,1-0,femlyACb
FA Cup,3° turno,09.01.2026,Milton Keynes,Oxford Utd,1 Tempo,34',Casa,Assist,Lemonheigh-Evans C.,1-0,femlyACb
FA Cup,3° turno,09.01.2026,Milton Keynes,Oxford Utd,2 Tempo,52',Ospite,Gol,Lankshear W.,1-1,femlyACb
FA Cup,3° turno,09.01.2026,Milton Keynes,Oxford Utd,2 Tempo,59',Casa,Sostituzione - Esce,Nemane A.,,femlyACb
FA Cup,3° turno,09.01.2026,Milton Keynes,Oxford Utd,2 Tempo,59',Casa,Sostituzione - Entra,Tripp C.,,femlyACb
FA Cup,3° turno,09.01.2026,Milton Keynes,Oxford Utd,2 Tempo,65',Ospite,Sostituzione - Esce,Brannagan C.,,femlyACb
FA Cup,3° turno,09.01.2026,Milton Keynes,Oxford Utd,2 Tempo,65',Ospite,Sostituzione - Entra,Krastev F.,,femlyACb
FA Cup,3° turno,09.01.2026,Milton Keynes,Oxford Utd,2 Tempo,66',Ospite,Sostituzione - Esce,Vaulks W.,,femlyACb
FA Cup,3° turno,09.01.2026,Milton Keynes,Oxford Utd,2 Tempo,66',Ospite,Sostituzione - Entra,De Keersmaecker B.,,femlyACb
FA Cup,3° turno,09.01.2026,Milton Keynes,Oxford Utd,2 Tempo,66',Ospite,Sostituzione - Esce,Dembele S.,,femlyACb
FA Cup,3° turno,09.01.2026,Milton Keynes,Oxford Utd,2 Tempo,66',Ospite,Sostituzione - Entra,ter Haar Romeny O.,,femlyACb
FA Cup,3° turno,09.01.2026,Milton Keynes,Oxford Utd,2 Tempo,72',Casa,Sostituzione - Esce,Thompson-Sommers K.,,femlyACb
FA Cup,3° turno,09.01.2026,Milton Keynes,Oxford Utd,2 Tempo,72',Casa,Sostituzione - Entra,Kelly L.,,femlyACb
FA Cup,3° turno,09.01.2026,Milton Keynes,Oxford Utd,2 Tempo,72',Casa,Sostituzione - Esce,Wiles B.,,femlyACb
FA Cup,3° turno,09.01.2026,Milton Keynes,Oxford Utd,2 Tempo,72',Casa,Sostituzione - Entra,Matete J.,,femlyACb
FA Cup,3° turno,09.01.2026,Milton Keynes,Oxford Utd,2 Tempo,72',Casa,Sostituzione - Esce,Hogan S.,,femlyACb
FA Cup,3° turno,09.01.2026,Milton Keynes,Oxford Utd,2 Tempo,72',Casa,Sostituzione - Entra,Paterson C.,,femlyACb
FA Cup,3° turno,09.01.2026,Milton Keynes,Oxford Utd,2 Tempo,79',Casa,Sostituzione - Esce,Crowley D.,,femlyACb
FA Cup,3° turno,09.01.2026,Milton Keynes,Oxford Utd,2 Tempo,79',Casa,Sostituzione - Entra,Leko J.,,femlyACb
FA Cup,3° turno,09.01.2026,Milton Keynes,Oxford Utd,2 Tempo,90+2',Ospite,Sostituzione - Esce,Lankshear W.,,femlyACb
FA Cup,3° turno,09.01.2026,Milton Keynes,Oxford Utd,2 Tempo,90+2',Ospite,Sostituzione - Entra,Harris M.,,femlyACb
FA Cup,3° turno,09.01.2026,Milton Keynes,Oxford Utd,Supplementari,96',Casa,Cartellino Giallo,Paterson C.,,femlyACb
FA Cup,3° turno,09.01.2026,Milton Keynes,Oxford Utd,Supplementari,98',Casa,Sostituzione - Esce,Jones G.,,femlyACb
FA Cup,3° turno,09.01.2026,Milton Keynes,Oxford Utd,Supplementari,98',Casa,Sostituzione - Entra,Burke J.,,femlyACb
FA Cup,3° turno,09.01.2026,Milton Keynes,Oxford Utd,Supplementari,98',Ospite,Sostituzione - Esce,Mills S.,,femlyACb
FA Cup,3° turno,09.01.2026,Milton Keynes,Oxford Utd,Supplementari,98',Ospite,Sostituzione - Entra,Phillips M.,,femlyACb
FA Cup,3° turno,09.01.2026,Milton Keynes,Oxford Utd,Rigori,1,Casa,Rigore Assegnato,Sanders J.,,femlyACb
FA Cup,3° turno,09.01.2026,Milton Keynes,Oxford Utd,Rigori,1,Casa,Rigore,Sanders J.,,femlyACb
FA Cup,3° turno,09.01.2026,Milton Keynes,Oxford Utd,Rigori,1,Ospite,Rigore Assegnato,ter Haar Romeny O.,,femlyACb
FA Cup,3° turno,09.01.2026,Milton Keynes,Oxford Utd,Rigori,1,Ospite,Rigore,ter Haar Romeny O.,,femlyACb
FA Cup,3° turno,09.01.2026,Milton Keynes,Oxford Utd,Rigori,2,Casa,Rigore Assegnato,Leko J.,,femlyACb
FA Cup,3° turno,09.01.2026,Milton Keynes,Oxford Utd,Rigori,2,Casa,Rigore sbagliato,Leko J.,,femlyACb
FA Cup,3° turno,09.01.2026,Milton Keynes,Oxford Utd,Rigori,2,Ospite,Rigore Assegnato,Harris M.,,femlyACb
FA Cup,3° turno,09.01.2026,Milton Keynes,Oxford Utd,Rigori,2,Ospite,Rigore,Harris M.,,femlyACb
FA Cup,3° turno,09.01.2026,Milton Keynes,Oxford Utd,Rigori,3,Casa,Rigore Assegnato,Matete J.,,femlyACb
FA Cup,3° turno,09.01.2026,Milton Keynes,Oxford Utd,Rigori,3,Casa,Rigore,Matete J.,,femlyACb
FA Cup,3° turno,09.01.2026,Milton Keynes,Oxford Utd,Rigori,3,Ospite,Rigore Assegnato,Peart-Harris M.,,femlyACb
FA Cup,3° turno,09.01.2026,Milton Keynes,Oxford Utd,Rigori,3,Ospite,Rigore,Peart-Harris M.,,femlyACb
FA Cup,3° turno,09.01.2026,Milton Keynes,Oxford Utd,Rigori,4,Casa,Rigore Assegnato,Paterson C.,,femlyACb
FA Cup,3° turno,09.01.2026,Milton Keynes,Oxford Utd,Rigori,4,Casa,Rigore,Paterson C.,,femlyACb
FA Cup,3° turno,09.01.2026,Milton Keynes,Oxford Utd,Rigori,4,Ospite,Rigore Assegnato,Phillips M.,,femlyACb
FA Cup,3° turno,09.01.2026,Milton Keynes,Oxford Utd,Rigori,4,Ospite,Rigore,Phillips M.,,femlyACb
FA Cup,3° turno,09.01.2026,Milton Keynes,Oxford Utd,Rigori,5,Casa,Rigore Assegnato,Lemonheigh-Evans C.,,femlyACb
FA Cup,3° turno,09.01.2026,Milton Keynes,Oxford Utd,Rigori,5,Casa,Rigore sbagliato,Lemonheigh-Evans C.,,femlyACb
FA Cup,3° turno,09.01.2026,Port Vale,Fleetwood,1 Tempo,25',Ospite,Cartellino Giallo,Mullarkey T.,,2PUtsuqK
FA Cup,3° turno,09.01.2026,Port Vale,Fleetwood,1 Tempo,42',Ospite,Sostituzione - Esce,McCann L.,,2PUtsuqK
FA Cup,3° turno,09.01.2026,Port Vale,Fleetwood,1 Tempo,42',Ospite,Sostituzione - Entra,Evans C.,,2PUtsuqK
FA Cup,3° turno,09.01.2026,Port Vale,Fleetwood,1 Tempo,45+2',Casa,Gol,Shipley J.,1-0,2PUtsuqK
FA Cup,3° turno,09.01.2026,Port Vale,Fleetwood,1 Tempo,45+2',Casa,Assist,Cole D.,1-0,2PUtsuqK
FA Cup,3° turno,09.01.2026,Port Vale,Fleetwood,2 Tempo,52',Ospite,Cartellino Giallo,Neal H.,,2PUtsuqK
FA Cup,3° turno,09.01.2026,Port Vale,Fleetwood,2 Tempo,59',Ospite,Sostituzione - Esce,Mullarkey T.,,2PUtsuqK
FA Cup,3° turno,09.01.2026,Port Vale,Fleetwood,2 Tempo,59',Ospite,Sostituzione - Entra,Rooney S.,,2PUtsuqK
FA Cup,3° turno,09.01.2026,Port Vale,Fleetwood,2 Tempo,59',Ospite,Sostituzione - Esce,Neal H.,,2PUtsuqK
FA Cup,3° turno,09.01.2026,Port Vale,Fleetwood,2 Tempo,59',Ospite,Sostituzione - Entra,Hughes K.,,2PUtsuqK
FA Cup,3° turno,09.01.2026,Port Vale,Fleetwood,2 Tempo,62',Casa,Sostituzione - Esce,Stockley J.,,2PUtsuqK
FA Cup,3° turno,09.01.2026,Port Vale,Fleetwood,2 Tempo,62',Casa,Sostituzione - Entra,Croasdale R.,,2PUtsuqK
FA Cup,3° turno,09.01.2026,Port Vale,Fleetwood,2 Tempo,62',Casa,Sostituzione - Esce,Hall G.,,2PUtsuqK
FA Cup,3° turno,09.01.2026,Port Vale,Fleetwood,2 Tempo,62',Casa,Sostituzione - Entra,Faal M.,,2PUtsuqK
FA Cup,3° turno,09.01.2026,Port Vale,Fleetwood,2 Tempo,69',Casa,Cartellino Giallo,Shipley J.,,2PUtsuqK
FA Cup,3° turno,09.01.2026,Port Vale,Fleetwood,2 Tempo,71',Ospite,Sostituzione - Esce,Davies J.,,2PUtsuqK
