manager_key,grafia,qid,qid_candidato,nome_wd,nascita,titolo,club_confermati,stato
jacques abardonado,Jacques Abardonado,Q368200,,Jacques Abardonado,1978-05-27,Jacques Abardonado,1,risolto
paolo montero,Paolo Montero,,Q342484,,,,0,club_diversi
darren fletcher,Darren Fletcher,Q172792,,Darren Fletcher,1984-02-01,Darren Fletcher,1,risolto
luca vigiani,Luca Vigiani,,Q2262270,,,,0,club_diversi
eddie niedzwiecki,Eddie Niedzwiecki,,Q1282921,,,,0,club_diversi
mark fotheringham,Mark Fotheringham,,,,,,0,residuo
thomas schaaf,Thomas Schaaf,Q157370,,Thomas Schaaf,1961-04-30,Thomas Schaaf,1,risolto
bernhard raab,Bernhard Raab,,Q825758,,,,0,senza_p6087
bjorn hamberg,Björn Hamberg,,Q117812747,,,,0,senza_p6087
benjamin hoffmann,Benjamin Hoffmann,,Q2896100,,,,0,senza_p6087
alexander zickler,Alexander Zickler,,Q453242,,,,0,senza_p6087
sylvain didot,Sylvain Didot,,Q3506979,,,,0,senza_p6087
ben dawson,Ben Dawson,,Q131321638,,,,0,senza_p6087
bruno saltor,Bruno Saltor,,Q440431,,,,0,senza_p6087
massimo brambilla,Massimo Brambilla,,Q1466230,,,,0,senza_p6087
mark hudson,Mark Hudson,,,,,,0,residuo
claude robin,Claude Robin,,,,,,0,residuo
javier cabello,Javier Cabello,,Q40375152,,,,0,club_diversi
jean francois vulliez,Jean-François Vulliez,,,,,,0,residuo
ilia gruev,Ilia Gruev,,,,,,0,disambigua
jaime ramos,Jaime Ramos,,Q11927125,,,,0,senza_p6087
jamie collins,Jamie Collins,,,,,,0,residuo
ion ansotegi,Ion Ansotegi,,Q941843,,,,0,senza_p6087
ian woan,Ian Woan,,Q5983308,,,,0,club_diversi
fabrizio lorieri,Fabrizio Lorieri,,Q3738057,,,,0,senza_p6087
michael appleton,Michael Appleton,,Q6828245,,,,0,club_diversi
matthias kreutzer,Matthias Kreutzer,,Q114801357,,,,0,senza_p6087
kelvin davis,Kelvin Davis,Q576520,,Kelvin Davis,1976-09-29,Kelvin Davis (footballer),1,risolto
mike stowell,Mike Stowell,Q6848955,,Mike Stowell,1965-04-19,Mike Stowell,1,risolto
miguel angel tena,Miguel Ángel Tena,,Q2551128,,,,0,senza_p6087
jose pinot,José Pinot,,,,,,0,residuo
franck passi,Franck Passi,,Q3082242,,,,0,club_diversi
jaroslav plasil,Jaroslav Plasil,,Q193717,,,,0,senza_p6087
emiliano bigica,Emiliano Bigica,,Q1444753,,,,0,senza_p6087
peter hermann,Peter Hermann,,Q874301,,,,0,senza_p6087
patrick mccarthy,Patrick McCarthy,,,,,,0,residuo
giovanni martusciello,Giovanni Martusciello,,Q3767704,,,,0,club_diversi
philippe bizeul,Philippe Bizeul,,,,,,0,residuo
ray lewington,Ray Lewington,Q10600,,Ray Lewington,1956-09-07,Ray Lewington,1,risolto
gustavo siviero,Gustavo Siviero,Q3824776,,Gustavo Siviero,1969-09-13,Gustavo Siviero,1,risolto
roberto murgita,Roberto Murgita,,Q3436948,,,,0,senza_p6087
reiner maurer,Reiner Maurer,,Q92529,,,,0,senza_p6087
alberto gallego,Alberto Gallego,,Q96624646,,,,0,senza_p6087
albert stuivenberg,Albert Stuivenberg,Q9144353,,Albert Stuivenberg,1970-08-05,Albert Stuivenberg,1,risolto
willy sagnol,Willy Sagnol,Q44513,,Willy Sagnol,1977-03-18,Willy Sagnol,1,risolto
abdoulay konko,Abdoulay Konko,,Q308391,,,,0,senza_p6087
