Giornata,Data,Squadra,Campo,Avversario,Risultato squadra,Esito,Periodo,Goal previsti (xG),Possesso palla %,Tiri totali,Tiri in porta,Grandi occasioni,Calci d'angolo,Passaggi riusciti,Passaggi totali,Passaggi %,Cartellini gialli,Cartellini rossi,xG sui Tiri in porta (xGOT),Tiri fuori,Tiri fermati,Tiri dall'area di rigore,Tiri da fuori area,Pali colpiti,Palloni toccati nell'area avversaria,Passaggi filtranti riusciti,Fuorigioco,Punizioni,Passaggi lunghi riusciti,Passaggi lunghi totali,Passaggi lunghi %,Passaggi offensivi riusciti,Passaggi offensivi totali,Passaggi offensivi %,Cross riusciti,Cross totali,Cross %,Assist previsti (xA),Rimesse Laterali,Falli,Tackles riusciti,Tackles totali,Tackles %,Contrasti vinti,Respinte difensive,Palle intercettate,Errori che hanno portato al tiro,Errori che hanno portato al gol,Parate,xGot affrontati,Gol evitati,Gol di testa
2,31.08.2025,Torino,Casa,Fiorentina,0-0,N,Totale,1.02,45,7,4,2,7,225,292,77,2,,1.35,2,1,6,1,0,22,0,2,13,24,44,55,54,89,61,5,18,28,0.6,18,21,5,7,71,43,21,6,0,0,3,0.38,0.38,
2,31.08.2025,Fiorentina,Trasferta,Torino,0-0,N,Totale,1.75,55,16,4,1,3,307,369,83,2,,0.38,8,4,8,8,0,20,1,1,21,17,36,47,46,70,66,4,11,36,0.54,13,13,5,11,45,48,23,10,0,0,4,1.35,1.35,
2,31.08.2025,Torino,Casa,Fiorentina,0-0,N,1° tempo,0.77,42,5,4,2,1,109,143,76,1,,1.35,1,0,4,1,0,7,0,1,8,16,23,70,23,39,59,2,4,50,0.25,9,12,2,4,50,22,7,4,0,0,2,0.3,0.3,
2,31.08.2025,Fiorentina,Trasferta,Torino,0-0,N,1° tempo,0.53,58,8,2,0,2,170,202,84,1,,0.3,5,1,3,5,0,6,1,0,12,10,20,50,21,37,57,3,6,50,0.38,4,8,3,6,50,26,6,8,0,0,4,1.35,1.35,
2,31.08.2025,Torino,Casa,Fiorentina,0-0,N,2° tempo,0.25,49,2,0,0,6,116,149,78,1,,0,1,1,2,0,0,15,0,1,5,8,21,38,31,50,62,3,14,21,0.35,9,9,3,3,100,21,14,2,0,0,1,0.08,0.08,
2,31.08.2025,Fiorentina,Trasferta,Torino,0-0,N,2° tempo,1.22,51,8,2,1,1,137,167,82,1,,0.08,3,3,5,3,0,14,0,1,9,7,16,44,25,33,76,1,5,20,0.16,9,5,2,5,40,22,17,2,0,0,0,0,0,
3,14.09.2025,Atalanta,Casa,Lecce,4-1,V,Totale,2.12,57,19,8,4,8,390,456,86,,,2.13,8,3,13,6,1,34,0,3,7,14,34,41,95,130,73,3,23,13,0.91,14,12,11,14,79,47,20,6,1,0,2,0.65,-0.35,1
3,14.09.2025,Lecce,Trasferta,Atalanta,1-4,P,Totale,0.47,43,12,3,1,2,284,357,80,,,0.65,4,5,4,8,0,18,0,1,12,20,52,38,94,140,67,4,12,33,0.45,18,7,6,13,46,44,30,9,1,1,4,2.13,-1.87,0
3,14.09.2025,Atalanta,Casa,Lecce,4-1,V,1° tempo,0.34,54,6,1,1,5,178,220,81,,,0.52,3,2,4,2,0,12,0,1,5,8,20,40,46,70,66,3,15,20,0.36,9,6,4,6,67,24,8,3,1,0,1,0.03,0.03,1
3,14.09.2025,Lecce,Trasferta,Atalanta,1-4,P,1° tempo,0.2,46,7,1,0,1,152,196,78,,,0.03,3,3,1,6,0,12,0,1,6,13,32,41,54,86,63,2,5,40,0.27,10,5,1,5,20,20,19,7,0,0,0,0.52,-0.48,0
3,14.09.2025,Atalanta,Casa,Lecce,4-1,V,2° tempo,1.78,59,13,7,3,3,212,236,90,,,1.61,5,1,9,4,1,22,0,2,2,6,14,43,49,60,82,0,8,0,0.55,5,6,7,8,88,23,12,3,0,0,1,0.62,-0.38,
3,14.09.2025,Lecce,Trasferta,Atalanta,1-4,P,2° tempo,0.27,41,5,2,1,1,132,161,82,,,0.62,1,2,3,2,0,6,0,0,6,7,20,35,40,54,74,2,7,29,0.18,8,2,5,8,63,24,11,2,1,1,4,1.61,-1.39,
3,13.09.2025,Cagliari,Casa,Parma,2-0,V,Totale,1.12,51,12,5,4,4,319,396,81,3,,1.59,3,4,8,4,1,16,0,3,18,23,53,43,42,67,63,2,13,15,0.49,21,15,8,14,57,53,32,10,2,0,6,1.03,1.03,1
3,13.09.2025,Parma,Trasferta,Cagliari,0-2,P,Totale,1.96,49,17,5,4,5,303,375,81,1,,1.03,5,7,11,6,1,26,0,0,15,18,49,37,71,115,62,7,20,35,0.99,19,18,13,20,65,58,14,5,0,0,3,1.59,-0.41,0
3,13.09.2025,Cagliari,Casa,Parma,2-0,V,1° tempo,0.74,59,7,2,2,3,213,254,84,1,,1.02,2,3,3,4,0,8,0,1,8,7,18,39,20,31,65,2,11,18,0.36,13,6,6,7,86,28,21,5,2,0,3,0.44,0.44,1
3,13.09.2025,Parma,Trasferta,Cagliari,0-2,P,1° tempo,1.15,41,9,3,3,3,131,174,75,1,,0.44,1,5,6,3,0,16,0,0,6,6,25,24,30,52,58,3,12,25,0.48,10,8,7,11,64,31,6,4,0,0,1,1.02,0.02,0
3,13.09.2025,Cagliari,Casa,Parma,2-0,V,2° tempo,0.38,41,5,3,2,1,106,142,75,2,,0.57,1,1,5,0,1,8,0,2,10,16,35,46,22,36,61,0,2,0,0.13,8,9,2,7,29,25,11,5,0,0,3,0.59,0.59,
3,13.09.2025,Parma,Trasferta,Cagliari,0-2,P,2° tempo,0.81,59,8,2,1,2,172,201,86,0,,0.59,4,2,5,3,1,10,0,0,9,12,24,50,41,63,65,4,8,50,0.51,9,10,6,9,67,27,8,1,0,0,2,0.57,-0.43,
3,15.09.2025,Como,Casa,Genoa,1-1,N,Totale,1.83,53,13,4,2,0,379,452,84,2,1,1.02,3,6,7,6,0,16,0,0,17,25,45,56,58,80,73,0,7,0,0.42,32,13,6,15,40,55,24,6,0,0,4,1.32,0.32,
3,15.09.2025,Genoa,Trasferta,Como,1-1,N,Totale,2.34,47,12,6,5,8,323,396,82,2,0,1.32,0,6,9,3,1,23,1,0,13,24,43,56,59,92,64,2,18,11,0.84,22,17,20,30,67,69,17,10,0,0,3,1.02,0.02,
3,15.09.2025,Como,Casa,Genoa,1-1,N,1° tempo,1.25,57,9,3,2,0,226,264,86,1,,0.89,2,4,4,5,0,8,0,0,10,10,16,63,23,31,74,0,3,0,0.14,19,3,2,8,25,33,8,1,0,0,3,0.31,0.31,
3,15.09.2025,Genoa,Trasferta,Como,1-1,N,1° tempo,0.97,43,4,3,2,2,156,197,79,1,,0.31,0,1,3,1,0,6,1,0,3,13,24,54,20,37,54,0,7,0,0.22,9,10,11,18,61,30,2,5,0,0,2,0.89,-0.11,
