Competizione,Turno,Data,Casa,Ospite,Lato,Squadra,Modulo,Gruppo,Ordine,Numero,Giocatore,Ruolo,Rating,Entrato al,Uscito al,ID partita
DFB-Pokal,SEMI FINALI,23.04.2026,Stoccarda,Friburgo,Ospite,Friburgo,4-2-3-1,Titolare,7,44,Manzambi J.,,6.2,,,dAmVwZvJ
DFB-Pokal,SEMI FINALI,23.04.2026,Stoccarda,Friburgo,Ospite,Friburgo,4-2-3-1,Titolare,8,19,Beste J.,,6.6,,102',dAmVwZvJ
DFB-Pokal,SEMI FINALI,23.04.2026,Stoccarda,Friburgo,Ospite,Friburgo,4-2-3-1,Titolare,9,14,Suzuki Y.,,6.5,,,dAmVwZvJ
DFB-Pokal,SEMI FINALI,23.04.2026,Stoccarda,Friburgo,Ospite,Friburgo,4-2-3-1,Titolare,10,32,Grifo V.,Capitano,7.1,,71',dAmVwZvJ
DFB-Pokal,SEMI FINALI,23.04.2026,Stoccarda,Friburgo,Ospite,Friburgo,4-2-3-1,Titolare,11,31,Matanovic I.,,6.8,,84',dAmVwZvJ
DFB-Pokal,SEMI FINALI,23.04.2026,Stoccarda,Friburgo,Ospite,Friburgo,4-2-3-1,Panchina,1,1,Atubolu N.,Portiere,,,,dAmVwZvJ
DFB-Pokal,SEMI FINALI,23.04.2026,Stoccarda,Friburgo,Ospite,Friburgo,4-2-3-1,Panchina,2,30,Gunter C.,,6.5,101',,dAmVwZvJ
DFB-Pokal,SEMI FINALI,23.04.2026,Stoccarda,Friburgo,Ospite,Friburgo,4-2-3-1,Panchina,3,27,Höfler N.,,,,,dAmVwZvJ
DFB-Pokal,SEMI FINALI,23.04.2026,Stoccarda,Friburgo,Ospite,Friburgo,4-2-3-1,Panchina,4,9,Holer L.,,5.8,84',,dAmVwZvJ
DFB-Pokal,SEMI FINALI,23.04.2026,Stoccarda,Friburgo,Ospite,Friburgo,4-2-3-1,Panchina,5,22,Irie C.,,,,,dAmVwZvJ
DFB-Pokal,SEMI FINALI,23.04.2026,Stoccarda,Friburgo,Ospite,Friburgo,4-2-3-1,Panchina,6,17,Kubler L.,,6.5,102',,dAmVwZvJ
DFB-Pokal,SEMI FINALI,23.04.2026,Stoccarda,Friburgo,Ospite,Friburgo,4-2-3-1,Panchina,7,43,Ogbus B.,,,113',,dAmVwZvJ
DFB-Pokal,SEMI FINALI,23.04.2026,Stoccarda,Friburgo,Ospite,Friburgo,4-2-3-1,Panchina,8,26,Philipp M.,,,,,dAmVwZvJ
DFB-Pokal,SEMI FINALI,23.04.2026,Stoccarda,Friburgo,Ospite,Friburgo,4-2-3-1,Panchina,9,7,Scherhant D.,,6.3,71',,dAmVwZvJ
DFB-Pokal,SEMI FINALI,22.04.2026,Leverkusen,Bayern,Casa,Leverkusen,3-4-2-1,Titolare,1,1,Flekken M.,Portiere,8.7,,,l4zH1xXP
DFB-Pokal,SEMI FINALI,22.04.2026,Leverkusen,Bayern,Casa,Leverkusen,3-4-2-1,Titolare,2,4,Quansah J.,,5.4,,,l4zH1xXP
DFB-Pokal,SEMI FINALI,22.04.2026,Leverkusen,Bayern,Casa,Leverkusen,3-4-2-1,Titolare,3,8,Andrich R.,Capitano,7.0,,84',l4zH1xXP
DFB-Pokal,SEMI FINALI,22.04.2026,Leverkusen,Bayern,Casa,Leverkusen,3-4-2-1,Titolare,4,12,Tapsoba E.,,6.2,,,l4zH1xXP
DFB-Pokal,SEMI FINALI,22.04.2026,Leverkusen,Bayern,Casa,Leverkusen,3-4-2-1,Titolare,5,21,Lucas,,6.1,,39',l4zH1xXP
DFB-Pokal,SEMI FINALI,22.04.2026,Leverkusen,Bayern,Casa,Leverkusen,3-4-2-1,Titolare,6,25,Palacios E.,,6.5,,,l4zH1xXP
DFB-Pokal,SEMI FINALI,22.04.2026,Leverkusen,Bayern,Casa,Leverkusen,3-4-2-1,Titolare,7,24,Garcia A.,,6.7,,,l4zH1xXP
DFB-Pokal,SEMI FINALI,22.04.2026,Leverkusen,Bayern,Casa,Leverkusen,3-4-2-1,Titolare,8,20,Grimaldo A.,,6.5,,,l4zH1xXP
DFB-Pokal,SEMI FINALI,22.04.2026,Leverkusen,Bayern,Casa,Leverkusen,3-4-2-1,Titolare,9,30,Maza I.,,6.2,,,l4zH1xXP
DFB-Pokal,SEMI FINALI,22.04.2026,Leverkusen,Bayern,Casa,Leverkusen,3-4-2-1,Titolare,10,23,Tella N.,,6.0,,77',l4zH1xXP
DFB-Pokal,SEMI FINALI,22.04.2026,Leverkusen,Bayern,Casa,Leverkusen,3-4-2-1,Titolare,11,14,Schick P.,,6.0,,,l4zH1xXP
DFB-Pokal,SEMI FINALI,22.04.2026,Leverkusen,Bayern,Casa,Leverkusen,3-4-2-1,Panchina,1,5,Bade L.,,,,,l4zH1xXP
DFB-Pokal,SEMI FINALI,22.04.2026,Leverkusen,Bayern,Casa,Leverkusen,3-4-2-1,Panchina,2,17,Ben Seghir E.,,,,,l4zH1xXP
