Competizione,Turno,Data,Casa,Ospite,Periodo,Minuto,Lato,Tipo evento,Giocatore,Punteggio dopo,ID partita
DFB-Pokal,SEMI FINALI,23.04.2026,Stoccarda,Friburgo,Supplementari,118',Casa,Sostituzione - Entra,Vagnoman J.,,dAmVwZvJ
DFB-Pokal,SEMI FINALI,23.04.2026,Stoccarda,Friburgo,Supplementari,119',Casa,Gol,Tomas T.,2-1,dAmVwZvJ
DFB-Pokal,SEMI FINALI,23.04.2026,Stoccarda,Friburgo,Supplementari,119',Casa,Assist,Bouanani B.,2-1,dAmVwZvJ
DFB-Pokal,SEMI FINALI,23.04.2026,Stoccarda,Friburgo,Supplementari,120+1',Casa,Cartellino Giallo,Tomas T.,,dAmVwZvJ
DFB-Pokal,SEMI FINALI,22.04.2026,Leverkusen,Bayern,1 Tempo,22',Ospite,Gol,Kane H.,0-1,l4zH1xXP
DFB-Pokal,SEMI FINALI,22.04.2026,Leverkusen,Bayern,1 Tempo,22',Ospite,Assist,Musiala J.,0-1,l4zH1xXP
DFB-Pokal,SEMI FINALI,22.04.2026,Leverkusen,Bayern,1 Tempo,38',Casa,Cartellino Giallo,Tapsoba E.,,l4zH1xXP
DFB-Pokal,SEMI FINALI,22.04.2026,Leverkusen,Bayern,1 Tempo,39',Casa,Sostituzione - Esce,Lucas,,l4zH1xXP
DFB-Pokal,SEMI FINALI,22.04.2026,Leverkusen,Bayern,1 Tempo,39',Casa,Sostituzione - Entra,Poku E.,,l4zH1xXP
DFB-Pokal,SEMI FINALI,22.04.2026,Leverkusen,Bayern,1 Tempo,43',Ospite,Cartellino Giallo,Pavlovic A.,,l4zH1xXP
DFB-Pokal,SEMI FINALI,22.04.2026,Leverkusen,Bayern,2 Tempo,73',Ospite,Sostituzione - Esce,Pavlovic A.,,l4zH1xXP
DFB-Pokal,SEMI FINALI,22.04.2026,Leverkusen,Bayern,2 Tempo,73',Ospite,Sostituzione - Entra,Goretzka L.,,l4zH1xXP
DFB-Pokal,SEMI FINALI,22.04.2026,Leverkusen,Bayern,2 Tempo,74',Ospite,Sostituzione - Esce,Laimer K.,,l4zH1xXP
DFB-Pokal,SEMI FINALI,22.04.2026,Leverkusen,Bayern,2 Tempo,74',Ospite,Sostituzione - Entra,Davies A.,,l4zH1xXP
DFB-Pokal,SEMI FINALI,22.04.2026,Leverkusen,Bayern,2 Tempo,76',Casa,Cartellino Giallo,Grimaldo A.,,l4zH1xXP
DFB-Pokal,SEMI FINALI,22.04.2026,Leverkusen,Bayern,2 Tempo,77',Casa,Sostituzione - Esce,Tella N.,,l4zH1xXP
DFB-Pokal,SEMI FINALI,22.04.2026,Leverkusen,Bayern,2 Tempo,77',Casa,Sostituzione - Entra,Culbreath M.,,l4zH1xXP
DFB-Pokal,SEMI FINALI,22.04.2026,Leverkusen,Bayern,2 Tempo,84',Ospite,Sostituzione - Esce,Musiala J.,,l4zH1xXP
DFB-Pokal,SEMI FINALI,22.04.2026,Leverkusen,Bayern,2 Tempo,84',Ospite,Sostituzione - Entra,Kim Min-Jae,,l4zH1xXP
DFB-Pokal,SEMI FINALI,22.04.2026,Leverkusen,Bayern,2 Tempo,84',Casa,Sostituzione - Esce,Andrich R.,,l4zH1xXP
DFB-Pokal,SEMI FINALI,22.04.2026,Leverkusen,Bayern,2 Tempo,84',Casa,Sostituzione - Entra,Tillman M.,,l4zH1xXP
DFB-Pokal,SEMI FINALI,22.04.2026,Leverkusen,Bayern,2 Tempo,90+3',Ospite,Gol,Diaz L.,0-2,l4zH1xXP
DFB-Pokal,SEMI FINALI,22.04.2026,Leverkusen,Bayern,2 Tempo,90+3',Ospite,Assist,Goretzka L.,0-2,l4zH1xXP
DFB-Pokal,QUARTI DI FINALE,11.02.2026,Bayern,RB Lipsia,1 Tempo,29',Ospite,Cartellino Giallo,Werner O.,,f3czdX2n
DFB-Pokal,QUARTI DI FINALE,11.02.2026,Bayern,RB Lipsia,1 Tempo,29',Ospite,Non Dal Campo,Werner O.,,f3czdX2n
DFB-Pokal,QUARTI DI FINALE,11.02.2026,Bayern,RB Lipsia,2 Tempo,61',Casa,Cartellino Giallo,Stanisic J.,,f3czdX2n
DFB-Pokal,QUARTI DI FINALE,11.02.2026,Bayern,RB Lipsia,2 Tempo,62',Ospite,Cartellino Giallo,Vandevoordt M.,,f3czdX2n
DFB-Pokal,QUARTI DI FINALE,11.02.2026,Bayern,RB Lipsia,2 Tempo,64',Casa,Rigore Assegnato,Kane H.,1-0,f3czdX2n
DFB-Pokal,QUARTI DI FINALE,11.02.2026,Bayern,RB Lipsia,2 Tempo,64',Casa,Rigore,Kane H.,1-0,f3czdX2n
DFB-Pokal,QUARTI DI FINALE,11.02.2026,Bayern,RB Lipsia,2 Tempo,67',Casa,Gol,Diaz L.,2-0,f3czdX2n
DFB-Pokal,QUARTI DI FINALE,11.02.2026,Bayern,RB Lipsia,2 Tempo,67',Casa,Assist,Olise M.,2-0,f3czdX2n
DFB-Pokal,QUARTI DI FINALE,11.02.2026,Bayern,RB Lipsia,2 Tempo,69',Casa,Sostituzione - Esce,Gnabry S.,,f3czdX2n
DFB-Pokal,QUARTI DI FINALE,11.02.2026,Bayern,RB Lipsia,2 Tempo,69',Casa,Sostituzione - Entra,Musiala J.,,f3czdX2n
DFB-Pokal,QUARTI DI FINALE,11.02.2026,Bayern,RB Lipsia,2 Tempo,69',Casa,Sostituzione - Esce,Stanisic J.,,f3czdX2n
DFB-Pokal,QUARTI DI FINALE,11.02.2026,Bayern,RB Lipsia,2 Tempo,69',Casa,Sostituzione - Entra,Laimer K.,,f3czdX2n
DFB-Pokal,QUARTI DI FINALE,11.02.2026,Bayern,RB Lipsia,2 Tempo,69',Ospite,Cartellino Giallo,Seiwald N.,,f3czdX2n
DFB-Pokal,QUARTI DI FINALE,11.02.2026,Bayern,RB Lipsia,2 Tempo,70',Ospite,Cartellino Giallo,Romulo Cardoso,,f3czdX2n
DFB-Pokal,QUARTI DI FINALE,11.02.2026,Bayern,RB Lipsia,2 Tempo,70',Casa,Cartellino Giallo,Pavlovic A.,,f3czdX2n
DFB-Pokal,QUARTI DI FINALE,11.02.2026,Bayern,RB Lipsia,2 Tempo,78',Ospite,Sostituzione - Esce,Romulo Cardoso,,f3czdX2n
DFB-Pokal,QUARTI DI FINALE,11.02.2026,Bayern,RB Lipsia,2 Tempo,78',Ospite,Sostituzione - Entra,Harder C.,,f3czdX2n
DFB-Pokal,QUARTI DI FINALE,11.02.2026,Bayern,RB Lipsia,2 Tempo,78',Ospite,Sostituzione - Esce,Nusa A.,,f3czdX2n
DFB-Pokal,QUARTI DI FINALE,11.02.2026,Bayern,RB Lipsia,2 Tempo,78',Ospite,Sostituzione - Entra,Gruda B.,,f3czdX2n
DFB-Pokal,QUARTI DI FINALE,11.02.2026,Bayern,RB Lipsia,2 Tempo,78',Ospite,Sostituzione - Esce,Schlager X.,,f3czdX2n
DFB-Pokal,QUARTI DI FINALE,11.02.2026,Bayern,RB Lipsia,2 Tempo,78',Ospite,Sostituzione - Entra,Banzuzi E.,,f3czdX2n
DFB-Pokal,QUARTI DI FINALE,11.02.2026,Bayern,RB Lipsia,2 Tempo,80',Casa,Sostituzione - Esce,Pavlovic A.,,f3czdX2n
DFB-Pokal,QUARTI DI FINALE,11.02.2026,Bayern,RB Lipsia,2 Tempo,80',Casa,Sostituzione - Entra,Goretzka L.,,f3czdX2n
DFB-Pokal,QUARTI DI FINALE,11.02.2026,Bayern,RB Lipsia,2 Tempo,82',Ospite,Cartellino Giallo,Baumgartner C.,,f3czdX2n
DFB-Pokal,QUARTI DI FINALE,11.02.2026,Bayern,RB Lipsia,2 Tempo,89',Casa,Cartellino Giallo,Laimer K.,,f3czdX2n
DFB-Pokal,QUARTI DI FINALE,11.02.2026,Bayern,RB Lipsia,2 Tempo,89',Ospite,Sostituzione - Esce,Baumgartner C.,,f3czdX2n
DFB-Pokal,QUARTI DI FINALE,11.02.2026,Bayern,RB Lipsia,2 Tempo,89',Ospite,Sostituzione - Entra,Gomis T.,,f3czdX2n
DFB-Pokal,QUARTI DI FINALE,11.02.2026,Bayern,RB Lipsia,2 Tempo,90+4',Ospite,Sostituzione - Esce,Lukeba C.,,f3czdX2n
DFB-Pokal,QUARTI DI FINALE,11.02.2026,Bayern,RB Lipsia,2 Tempo,90+4',Ospite,Sostituzione - Entra,Bitshiabu E.,,f3czdX2n
DFB-Pokal,QUARTI DI FINALE,11.02.2026,Bayern,RB Lipsia,2 Tempo,90+4',Casa,Sostituzione - Esce,Davies A.,,f3czdX2n
DFB-Pokal,QUARTI DI FINALE,11.02.2026,Bayern,RB Lipsia,2 Tempo,90+4',Casa,Sostituzione - Entra,Ito H.,,f3czdX2n
DFB-Pokal,QUARTI DI FINALE,10.02.2026,Hertha,Friburgo,2 Tempo,63',Ospite,Sostituzione - Esce,Scherhant D.,,GIoqfBXb
DFB-Pokal,QUARTI DI FINALE,10.02.2026,Hertha,Friburgo,2 Tempo,63',Ospite,Sostituzione - Entra,Grifo V.,,GIoqfBXb
DFB-Pokal,QUARTI DI FINALE,10.02.2026,Hertha,Friburgo,2 Tempo,70',Ospite,Cartellino Giallo,Grifo V.,,GIoqfBXb
DFB-Pokal,QUARTI DI FINALE,10.02.2026,Hertha,Friburgo,2 Tempo,78',Ospite,Sostituzione - Esce,Makengo J.,,GIoqfBXb
DFB-Pokal,QUARTI DI FINALE,10.02.2026,Hertha,Friburgo,2 Tempo,78',Ospite,Sostituzione - Entra,Gunter C.,,GIoqfBXb
DFB-Pokal,QUARTI DI FINALE,10.02.2026,Hertha,Friburgo,2 Tempo,78',Ospite,Sostituzione - Esce,Osterhage P.,,GIoqfBXb
DFB-Pokal,QUARTI DI FINALE,10.02.2026,Hertha,Friburgo,2 Tempo,78',Ospite,Sostituzione - Entra,Manzambi J.,,GIoqfBXb
DFB-Pokal,QUARTI DI FINALE,10.02.2026,Hertha,Friburgo,2 Tempo,80',Casa,Sostituzione - Esce,Kownacki D.,,GIoqfBXb
DFB-Pokal,QUARTI DI FINALE,10.02.2026,Hertha,Friburgo,2 Tempo,80',Casa,Sostituzione - Entra,Schuler L.,,GIoqfBXb
DFB-Pokal,QUARTI DI FINALE,10.02.2026,Hertha,Friburgo,2 Tempo,80',Casa,Sostituzione - Esce,Winkler M.,,GIoqfBXb
DFB-Pokal,QUARTI DI FINALE,10.02.2026,Hertha,Friburgo,2 Tempo,80',Casa,Sostituzione - Entra,Brekalo J.,,GIoqfBXb
DFB-Pokal,QUARTI DI FINALE,10.02.2026,Hertha,Friburgo,2 Tempo,90+3',Casa,Cartellino Giallo,Leistner T.,,GIoqfBXb
DFB-Pokal,QUARTI DI FINALE,10.02.2026,Hertha,Friburgo,Supplementari,96',Ospite,Gol,Suzuki Y.,0-1,GIoqfBXb
