league,home,away,home_smarkets,away_smarkets,kickoff_utc,event_id,as_of,home_promossa,away_promossa,lam,mu,home_win,draw,away_win,dc_1x,dc_12,dc_2x,over_1.5,over_2.5,over_3.5,over_4.5,over_0.5,btts,odd_total,home_ov_0.5,home_ov_1.5,away_ov_0.5,away_ov_1.5,cs_home,cs_away,wtn_home,wtn_away,home_by_2plus,away_by_2plus,mg_0_1,mg_2_3,mg_4plus
la_liga,Sevilla,Vallecano,Sevilla,Rayo Vallecano,2026-08-15T19:30:00Z,45169644,2026-08-15,False,False,1.2396,1.0122,0.41547,0.28215,0.30238,0.69762,0.71785,0.58453,0.65649,0.39112,0.19091,0.07821,0.89615,0.4509,0.4972,0.71049,0.35162,0.63657,0.26871,0.36343,0.28951,0.25958,0.18566,0.18284,0.11218,0.34351,0.46558,0.19091
la_liga,Santander,Villarreal,Racing Santander,Villarreal,2026-08-16T15:00:00Z,45169646,2026-08-15,True,False,1.0913,1.827,0.22631,0.2267,0.54699,0.45301,0.7733,0.77369,0.7872,0.55826,0.33447,0.1712,0.94709,0.55623,0.50077,0.66422,0.29778,0.83911,0.54516,0.16089,0.33578,0.10798,0.28288,0.08434,0.31006,0.2128,0.45273,0.33447
la_liga,Espanol,Levante,Espanyol,Levante UD,2026-08-16T17:00:00Z,45169636,2026-08-15,False,False,1.529,1.2029,0.44941,0.25004,0.30055,0.69945,0.74996,0.55059,0.75583,0.51415,0.29295,0.14187,0.93614,0.54678,0.50036,0.78324,0.45183,0.69968,0.33842,0.30032,0.21676,0.23647,0.1529,0.22433,0.12321,0.24417,0.46288,0.29295
la_liga,Celta,Osasuna,Celta Vigo,Osasuna,2026-08-16T19:30:00Z,45169645,2026-08-15,False,False,1.5751,1.0221,0.50307,0.24973,0.2472,0.7528,0.75027,0.49693,0.73083,0.48086,0.26338,0.12218,0.92676,0.50641,0.49971,0.79301,0.46698,0.64016,0.27237,0.35984,0.20699,0.28659,0.13375,0.26105,0.08971,0.26917,0.46744,0.26338
la_liga,La Coruna,Elche,Deportivo La Coruña,Elche CF,2026-08-17T19:00:00Z,45169639,2026-08-15,True,False,1.2205,1.2574,0.35679,0.26873,0.37448,0.62552,0.73127,0.64321,0.7068,0.4505,0.23771,0.10589,0.91741,0.50311,0.49915,0.7049,0.34475,0.71562,0.35802,0.28438,0.2951,0.2018,0.21251,0.15156,0.16308,0.2932,0.46909,0.23771
la_liga,Ath Madrid,Malaga,Atlético Madrid,Málaga,2026-08-19T19:00:00Z,45200412,2026-08-15,False,True,2.3141,0.6437,0.75105,0.16174,0.08721,0.91279,0.83826,0.24895,0.79364,0.56726,0.34328,0.17766,0.94886,0.42691,0.50025,0.90114,0.67237,0.47464,0.13648,0.52536,0.09886,0.47423,0.04773,0.51535,0.02107,0.20636,0.45036,0.34328
la_liga,Valencia,Betis,Valencia,Real Betis,2026-08-25T19:00:00Z,45200413,2026-08-15,False,False,1.3228,1.2566,0.38438,0.26236,0.35326,0.64674,0.73764,0.61562,0.7273,0.47638,0.25951,0.11967,0.92548,0.5235,0.49974,0.7336,0.38122,0.71538,0.35772,0.28462,0.2664,0.21011,0.19188,0.17285,0.15225,0.2727,0.46778,0.25951
la_liga,Real Madrid,Sociedad,Real Madrid,Real Sociedad,2026-08-26T19:00:00Z,45234196,2026-08-15,False,False,2.3261,0.8551,0.70392,0.17383,0.12225,0.87775,0.82617,0.29608,0.82546,0.61614,0.39326,0.21601,0.95932,0.51776,0.50085,0.90232,0.6751,0.57476,0.21113,0.42524,0.09768,0.38456,0.057,0.47265,0.03669,0.17454,0.4322,0.39326
la_liga,Barcelona,Ath Bilbao,Barcelona,Athletic Bilbao,2026-08-27T19:00:00Z,45200411,2026-08-15,False,False,2.3664,0.8647,0.7087,0.17078,0.12052,0.87948,0.82922,0.2913,0.83197,0.62654,0.40438,0.22492,0.96132,0.52369,0.50089,0.90618,0.68415,0.57884,0.21464,0.42116,0.09382,0.38248,0.05515,0.47988,0.03638,0.16803,0.42759,0.40438
ligue_1,Marseille,Strasbourg,Marseille,Strasbourg,2026-08-21T18:45:00Z,45173988,2026-08-21,False,False,1.9627,1.3025,0.52327,0.22853,0.24821,0.75179,0.77147,0.47673,0.84183,0.63352,0.41195,0.23108,0.95708,0.63057,0.48982,0.85952,0.58379,0.72814,0.37405,0.27186,0.14048,0.22894,0.09757,0.3065,0.10594,0.15817,0.42988,0.41195
ligue_1,Lens,Auxerre,RC Lens,AJ Auxerre,2026-08-22T15:15:00Z,45173452,2026-08-21,False,False,1.7943,0.8296,0.59728,0.23838,0.16434,0.83566,0.76162,0.40272,0.74242,0.48755,0.2692,0.12597,0.92226,0.47527,0.48693,0.83376,0.53547,0.56377,0.20188,0.43623,0.16624,0.35849,0.0885,0.34829,0.05203,0.25758,0.47321,0.2692
ligue_1,Nice,Lorient,Nice,Lorient,2026-08-22T18:45:00Z,45173497,2026-08-21,False,False,1.5935,1.1878,0.46204,0.25923,0.27873,0.72127,0.74077,0.53796,0.7714,0.52609,0.30392,0.14943,0.93237,0.55954,0.48673,0.79679,0.47298,0.69512,0.33297,0.30488,0.20321,0.23725,0.13558,0.24096,0.11538,0.2286,0.46748,0.30392
ligue_1,Le Mans,Brest,Le Mans FC,Brest,2026-08-22T18:45:00Z,45173498,2026-08-21,True,False,1.2301,1.2932,0.34463,0.28076,0.37461,0.62539,0.71924,0.65537,0.72363,0.46216,0.24742,0.11196,0.91364,0.51972,0.48444,0.70773,0.34822,0.72562,0.37078,0.27438,0.29227,0.18802,0.2059,0.14991,0.16957,0.27637,0.47621,0.24742
ligue_1,Toulouse,Lyon,Toulouse,Lyon,2026-08-22T18:45:00Z,45173999,2026-08-21,False,False,1.373,1.3763,0.36567,0.26718,0.36715,0.63285,0.73282,0.63433,0.766,0.51838,0.29681,0.14452,0.93018,0.56397,0.48626,0.74666,0.39882,0.74748,0.39995,0.25252,0.25334,0.1827,0.18352,0.17002,0.17103,0.234,0.46919,0.29681
ligue_1,Troyes,Paris FC,Troyes AC,Paris FC,2026-08-22T18:45:00Z,45174003,2026-08-21,True,False,1.0666,1.5854,0.24974,0.26222,0.48803,0.51197,0.73778,0.75026,0.74827,0.49455,0.27536,0.13004,0.92372,0.52724,0.48598,0.65583,0.28873,0.79514,0.47035,0.20486,0.34417,0.12859,0.2679,0.09605,0.25677,0.25173,0.47291,0.27536
