league,season,date,home_team,away_team,result,m_home_c,k_home_c,c_model,c_market,deficit,home_won,imbalance_model,imbalance_market,disagreement,abs_disagreement,favourite_agree,matchday,month,m_home,m_draw,m_away,k_home,k_draw,k_away
la_liga,2122,2022-02-12,Vallecano,Osasuna,A,0.6345311895957534,0.6362126245847176,1.00657433748477,1.0111857154923203,-0.004611378007550293,0.0,0.2690623791915068,0.2724252491694352,-0.0016814349889642255,0.0016814349889642255,True,75,2,0.4377941876519769,0.31005095599652643,0.2521548563514967,0.43671281221143454,0.31357411762066945,0.24971307016789596
la_liga,2122,2022-02-13,Alaves,Valencia,H,0.4169700302910365,0.5277280858676208,0.8747409295717616,0.6391741168152794,0.23556681275648228,1.0,0.16605993941792696,0.05545617173524153,-0.11075805557658425,0.11075805557658425,False,76,2,0.2967043568984728,0.28842761986663823,0.4148680232348889,0.3629961562047833,0.31215304637805474,0.324850797417162
la_liga,2122,2022-02-13,Levante,Betis,A,0.4102046008056093,0.4007285974499089,0.527979583251273,0.5120406907441586,0.015938892507114444,0.0,0.17959079838878145,0.19854280510018218,0.009476003355700369,0.009476003355700369,True,76,2,0.30385804475364736,0.25925247021390235,0.43688948503245034,0.2915355308928275,0.2724863342719894,0.435978134835183
la_liga,2122,2022-02-13,Sociedad,Granada,H,0.7458610254744076,0.8769230769230768,0.293215989062808,0.1313360020610871,0.1618799870017209,1.0,0.49172205094881516,0.7538461538461536,-0.13106205144866923,0.13106205144866923,True,76,2,0.5525754449764331,0.25914422914782886,0.18828032587573804,0.7049852037332118,0.19606950451475832,0.09894529175202975
la_liga,2122,2022-02-14,Mallorca,Ath Bilbao,H,0.37674260004812626,0.4597902097902098,0.9761930832128857,0.7769849592020334,0.1992081240108523,1.0,0.24651479990374747,0.08041958041958042,-0.08304760974208353,0.08304760974208353,True,77,2,0.2556538025524854,0.3214098896174009,0.4229363078301136,0.31101210029026366,0.3235782457565368,0.36540965395319946
la_liga,2122,2022-02-16,Ath Madrid,Levante,A,0.8922155871859694,0.908296943231441,2.227622224523765,2.3891995658308156,-0.16157734130705048,0.0,0.7844311743719388,0.8165938864628819,-0.016081356045471562,0.016081356045471562,True,78,2,0.7400665907968738,0.17052940855804885,0.0894040006450775,0.7603133159268929,0.1629242819843342,0.07676240208877284
la_liga,2122,2022-02-18,Elche,Vallecano,H,0.5400019277139051,0.4685314685314686,0.6161825695896238,0.7581520108689411,-0.14196944127931732,1.0,0.08000385542781019,0.0629370629370628,0.0714704591824365,0.0714704591824365,False,79,2,0.37052229113387625,0.31385005845723524,0.3156276504088886,0.31562249639480855,0.32635795545585644,0.358019548149335
la_liga,2122,2022-02-19,Osasuna,Ath Madrid,A,0.345758193361184,0.3803056027164687,0.42427826093831406,0.47852883006909525,-0.05425056913078119,0.0,0.30848361327763196,0.23938879456706263,-0.034547409355284664,0.034547409355284664,True,80,2,0.24232104708909807,0.29916036194703854,0.4585185909638634,0.2632038805700341,0.30791479617968726,0.42888132325027867
la_liga,2122,2022-02-19,Real Madrid,Alaves,H,0.9240396542419924,0.925812385039853,0.07900029241499934,0.07708367281204373,0.0019166196029556104,1.0,0.8480793084839848,0.8516247700797059,-0.0017727307978605555,0.0017727307978605555,True,80,2,0.7727840160381105,0.16368955326701837,0.06352643069487114,0.7972999152899705,0.1388104888490452,0.06388959586098439
la_liga,2122,2022-02-19,Granada,Villarreal,A,0.38643711291044563,0.3038585209003215,0.4884725146410484,0.36220236473668954,0.12627014990435886,0.0,0.22712577417910873,0.392282958199357,0.08257859201012413,0.08257859201012413,True,80,2,0.2828652005480825,0.2680175089351867,0.44911729051673077,0.22169392064021778,0.27040413418933607,0.5079019451704461
