Competizione,Turno,Data,Casa,Ospite,Lato,Squadra,Modulo,Gruppo,Ordine,Numero,Giocatore,Ruolo,Rating,Entrato al,Uscito al,ID partita
Coppa Italia,SEMI FINALI,22.04.2026,Atalanta,Lazio,Casa,Atalanta,3-4-2-1,Panchina,3,16,Bellanova R.,,7.3,56',,UTn2mTd2
Coppa Italia,SEMI FINALI,22.04.2026,Atalanta,Lazio,Casa,Atalanta,3-4-2-1,Panchina,4,3,Kossounou O.,,6.9,71',,UTn2mTd2
Coppa Italia,SEMI FINALI,22.04.2026,Atalanta,Lazio,Casa,Atalanta,3-4-2-1,Panchina,5,6,Musah Y.,,,,,UTn2mTd2
Coppa Italia,SEMI FINALI,22.04.2026,Atalanta,Lazio,Casa,Atalanta,3-4-2-1,Panchina,6,40,Obric R.,,,,,UTn2mTd2
Coppa Italia,SEMI FINALI,22.04.2026,Atalanta,Lazio,Casa,Atalanta,3-4-2-1,Panchina,7,50,Pardel P.,Portiere,,,,UTn2mTd2
Coppa Italia,SEMI FINALI,22.04.2026,Atalanta,Lazio,Casa,Atalanta,3-4-2-1,Panchina,8,8,Pasalic M.,,7.7,71',,UTn2mTd2
Coppa Italia,SEMI FINALI,22.04.2026,Atalanta,Lazio,Casa,Atalanta,3-4-2-1,Panchina,9,18,Raspadori G.,,6.6,71',,UTn2mTd2
Coppa Italia,SEMI FINALI,22.04.2026,Atalanta,Lazio,Casa,Atalanta,3-4-2-1,Panchina,10,10,Samardzic L.,,,,,UTn2mTd2
Coppa Italia,SEMI FINALI,22.04.2026,Atalanta,Lazio,Casa,Atalanta,3-4-2-1,Panchina,11,9,Scamacca G.,,6.5,90',,UTn2mTd2
Coppa Italia,SEMI FINALI,22.04.2026,Atalanta,Lazio,Casa,Atalanta,3-4-2-1,Panchina,12,57,Sportiello M.,Portiere,,,,UTn2mTd2
Coppa Italia,SEMI FINALI,22.04.2026,Atalanta,Lazio,Casa,Atalanta,3-4-2-1,Panchina,13,7,Sulemana K.,,,,,UTn2mTd2
Coppa Italia,SEMI FINALI,22.04.2026,Atalanta,Lazio,Ospite,Lazio,4-3-3,Titolare,1,40,Motta E.,Portiere,8.8,,,UTn2mTd2
Coppa Italia,SEMI FINALI,22.04.2026,Atalanta,Lazio,Ospite,Lazio,4-3-3,Titolare,2,77,Marusic A.,,6.1,,67',UTn2mTd2
Coppa Italia,SEMI FINALI,22.04.2026,Atalanta,Lazio,Ospite,Lazio,4-3-3,Titolare,3,34,Gila M.,,7.8,,77',UTn2mTd2
Coppa Italia,SEMI FINALI,22.04.2026,Atalanta,Lazio,Ospite,Lazio,4-3-3,Titolare,4,13,Romagnoli A.,,7.6,,,UTn2mTd2
Coppa Italia,SEMI FINALI,22.04.2026,Atalanta,Lazio,Ospite,Lazio,4-3-3,Titolare,5,17,Tavares N.,,5.9,,,UTn2mTd2
Coppa Italia,SEMI FINALI,22.04.2026,Atalanta,Lazio,Ospite,Lazio,4-3-3,Titolare,6,26,Basic T.,,6.2,,77',UTn2mTd2
Coppa Italia,SEMI FINALI,22.04.2026,Atalanta,Lazio,Ospite,Lazio,4-3-3,Titolare,7,4,Patric,,5.8,,84',UTn2mTd2
Coppa Italia,SEMI FINALI,22.04.2026,Atalanta,Lazio,Ospite,Lazio,4-3-3,Titolare,8,24,Taylor K.,,5.5,,,UTn2mTd2
Coppa Italia,SEMI FINALI,22.04.2026,Atalanta,Lazio,Ospite,Lazio,4-3-3,Titolare,9,22,Cancellieri M.,,6.0,,66',UTn2mTd2
Coppa Italia,SEMI FINALI,22.04.2026,Atalanta,Lazio,Ospite,Lazio,4-3-3,Titolare,10,14,Noslin T.,,6.4,,,UTn2mTd2
Coppa Italia,SEMI FINALI,22.04.2026,Atalanta,Lazio,Ospite,Lazio,4-3-3,Titolare,11,10,Zaccagni M.,Capitano,7.6,,103',UTn2mTd2
Coppa Italia,SEMI FINALI,22.04.2026,Atalanta,Lazio,Ospite,Lazio,4-3-3,Panchina,1,21,Belahyane R.,,,,,UTn2mTd2
Coppa Italia,SEMI FINALI,22.04.2026,Atalanta,Lazio,Ospite,Lazio,4-3-3,Panchina,2,32,Cataldi D.,,6.1,84',,UTn2mTd2
Coppa Italia,SEMI FINALI,22.04.2026,Atalanta,Lazio,Ospite,Lazio,4-3-3,Panchina,3,7,Dele-Bashiru F.,,6.2,77',,UTn2mTd2
Coppa Italia,SEMI FINALI,22.04.2026,Atalanta,Lazio,Ospite,Lazio,4-3-3,Panchina,4,19,Dia B.,,,,,UTn2mTd2
Coppa Italia,SEMI FINALI,22.04.2026,Atalanta,Lazio,Ospite,Lazio,4-3-3,Panchina,5,99,Giacomone G.,Portiere,,,,UTn2mTd2
Coppa Italia,SEMI FINALI,22.04.2026,Atalanta,Lazio,Ospite,Lazio,4-3-3,Panchina,6,23,Hysaj E.,,,,,UTn2mTd2
Coppa Italia,SEMI FINALI,22.04.2026,Atalanta,Lazio,Ospite,Lazio,4-3-3,Panchina,7,18,Isaksen G.,,6.6,66',,UTn2mTd2
Coppa Italia,SEMI FINALI,22.04.2026,Atalanta,Lazio,Ospite,Lazio,4-3-3,Panchina,8,29,Lazzari M.,,6.3,67',,UTn2mTd2
Coppa Italia,SEMI FINALI,22.04.2026,Atalanta,Lazio,Ospite,Lazio,4-3-3,Panchina,9,27,Maldini D.,,,,,UTn2mTd2
