Competizione,Turno,Data,Casa,Ospite,Lato,Squadra,Modulo,Gruppo,Ordine,Numero,Giocatore,Ruolo,Rating,Entrato al,Uscito al,ID partita
Carabao Cup,SEMI FINALI,04.02.2026,Manchester City,Newcastle,Casa,Manchester City,4-2-2-2,Panchina,5,9,Haaland E.,,6.7,71',,d01ERQJr
Carabao Cup,SEMI FINALI,04.02.2026,Manchester City,Newcastle,Casa,Manchester City,4-2-2-2,Panchina,6,82,Lewis R.,,,83',,d01ERQJr
Carabao Cup,SEMI FINALI,04.02.2026,Manchester City,Newcastle,Casa,Manchester City,4-2-2-2,Panchina,7,56,McAidoo R.,,,,,d01ERQJr
Carabao Cup,SEMI FINALI,04.02.2026,Manchester City,Newcastle,Casa,Manchester City,4-2-2-2,Panchina,8,41,Nypan S.,,,,,d01ERQJr
Carabao Cup,SEMI FINALI,04.02.2026,Manchester City,Newcastle,Casa,Manchester City,4-2-2-2,Panchina,9,16,Rodri,,6.5,71',,d01ERQJr
Carabao Cup,SEMI FINALI,04.02.2026,Manchester City,Newcastle,Ospite,Newcastle,3-4-1-2,Titolare,1,32,Ramsdale A.,Portiere,6.6,,,d01ERQJr
Carabao Cup,SEMI FINALI,04.02.2026,Manchester City,Newcastle,Ospite,Newcastle,3-4-1-2,Titolare,2,12,Thiaw M.,,6.4,,,d01ERQJr
Carabao Cup,SEMI FINALI,04.02.2026,Manchester City,Newcastle,Ospite,Newcastle,3-4-1-2,Titolare,3,4,Botman S.,,5.2,,,d01ERQJr
Carabao Cup,SEMI FINALI,04.02.2026,Manchester City,Newcastle,Ospite,Newcastle,3-4-1-2,Titolare,4,33,Burn D.,,7.1,,,d01ERQJr
Carabao Cup,SEMI FINALI,04.02.2026,Manchester City,Newcastle,Ospite,Newcastle,3-4-1-2,Titolare,5,2,Trippier K.,Capitano,7.2,,76',d01ERQJr
Carabao Cup,SEMI FINALI,04.02.2026,Manchester City,Newcastle,Ospite,Newcastle,3-4-1-2,Titolare,6,41,Ramsey J.,,6.0,,,d01ERQJr
Carabao Cup,SEMI FINALI,04.02.2026,Manchester City,Newcastle,Ospite,Newcastle,3-4-1-2,Titolare,7,8,Tonali S.,,7.0,,,d01ERQJr
Carabao Cup,SEMI FINALI,04.02.2026,Manchester City,Newcastle,Ospite,Newcastle,3-4-1-2,Titolare,8,3,Hall L.,,6.6,,46',d01ERQJr
Carabao Cup,SEMI FINALI,04.02.2026,Manchester City,Newcastle,Ospite,Newcastle,3-4-1-2,Titolare,9,28,Willock J.,,6.7,,46',d01ERQJr
Carabao Cup,SEMI FINALI,04.02.2026,Manchester City,Newcastle,Ospite,Newcastle,3-4-1-2,Titolare,10,10,Gordon A.,,6.1,,44',d01ERQJr
Carabao Cup,SEMI FINALI,04.02.2026,Manchester City,Newcastle,Ospite,Newcastle,3-4-1-2,Titolare,11,27,Woltemade N.,,6.1,,46',d01ERQJr
Carabao Cup,SEMI FINALI,04.02.2026,Manchester City,Newcastle,Ospite,Newcastle,3-4-1-2,Panchina,1,11,Barnes H.,,6.9,44',,d01ERQJr
Carabao Cup,SEMI FINALI,04.02.2026,Manchester City,Newcastle,Ospite,Newcastle,3-4-1-2,Panchina,2,20,Elanga A.,,7.3,46',,d01ERQJr
Carabao Cup,SEMI FINALI,04.02.2026,Manchester City,Newcastle,Ospite,Newcastle,3-4-1-2,Panchina,3,37,Murphy A.,,,,,d01ERQJr
Carabao Cup,SEMI FINALI,04.02.2026,Manchester City,Newcastle,Ospite,Newcastle,3-4-1-2,Panchina,4,23,Murphy J.,,6.5,46',,d01ERQJr
Carabao Cup,SEMI FINALI,04.02.2026,Manchester City,Newcastle,Ospite,Newcastle,3-4-1-2,Panchina,5,62,Neave S.,,,,,d01ERQJr
Carabao Cup,SEMI FINALI,04.02.2026,Manchester City,Newcastle,Ospite,Newcastle,3-4-1-2,Panchina,6,18,Osula W.,,6.4,76',,d01ERQJr
Carabao Cup,SEMI FINALI,04.02.2026,Manchester City,Newcastle,Ospite,Newcastle,3-4-1-2,Panchina,7,1,Pope N.,Portiere,,,,d01ERQJr
Carabao Cup,SEMI FINALI,04.02.2026,Manchester City,Newcastle,Ospite,Newcastle,3-4-1-2,Panchina,8,61,Shahar L.,,,,,d01ERQJr
Carabao Cup,SEMI FINALI,04.02.2026,Manchester City,Newcastle,Ospite,Newcastle,3-4-1-2,Panchina,9,9,Wissa Y.,,6.5,46',,d01ERQJr
Carabao Cup,SEMI FINALI,03.02.2026,Arsenal,Chelsea,Casa,Arsenal,4-3-3,Titolare,1,13,Arrizabalaga K.,Portiere,6.8,,,f3TFiSUj
Carabao Cup,SEMI FINALI,03.02.2026,Arsenal,Chelsea,Casa,Arsenal,4-3-3,Titolare,2,12,Timber J.,,6.7,,,f3TFiSUj
Carabao Cup,SEMI FINALI,03.02.2026,Arsenal,Chelsea,Casa,Arsenal,4-3-3,Titolare,3,2,Saliba W.,,6.4,,,f3TFiSUj
Carabao Cup,SEMI FINALI,03.02.2026,Arsenal,Chelsea,Casa,Arsenal,4-3-3,Titolare,4,6,Gabriel,Capitano,7.6,,,f3TFiSUj
Carabao Cup,SEMI FINALI,03.02.2026,Arsenal,Chelsea,Casa,Arsenal,4-3-3,Titolare,5,5,Hincapie P.,,7.3,,,f3TFiSUj
Carabao Cup,SEMI FINALI,03.02.2026,Arsenal,Chelsea,Casa,Arsenal,4-3-3,Titolare,6,10,Eze E.,,6.3,,,f3TFiSUj
Carabao Cup,SEMI FINALI,03.02.2026,Arsenal,Chelsea,Casa,Arsenal,4-3-3,Titolare,7,36,Zubimendi M.,,7.3,,,f3TFiSUj
Carabao Cup,SEMI FINALI,03.02.2026,Arsenal,Chelsea,Casa,Arsenal,4-3-3,Titolare,8,41,Rice D.,,7.2,,,f3TFiSUj
Carabao Cup,SEMI FINALI,03.02.2026,Arsenal,Chelsea,Casa,Arsenal,4-3-3,Titolare,9,20,Madueke N.,,5.7,,69',f3TFiSUj
Carabao Cup,SEMI FINALI,03.02.2026,Arsenal,Chelsea,Casa,Arsenal,4-3-3,Titolare,10,14,Gyökeres V.,,6.0,,69',f3TFiSUj
Carabao Cup,SEMI FINALI,03.02.2026,Arsenal,Chelsea,Casa,Arsenal,4-3-3,Titolare,11,11,Martinelli G.,,6.1,,,f3TFiSUj
Carabao Cup,SEMI FINALI,03.02.2026,Arsenal,Chelsea,Casa,Arsenal,4-3-3,Panchina,1,33,Calafiori R.,,,,,f3TFiSUj
Carabao Cup,SEMI FINALI,03.02.2026,Arsenal,Chelsea,Casa,Arsenal,4-3-3,Panchina,2,9,Gabriel Jesus,,,,,f3TFiSUj
Carabao Cup,SEMI FINALI,03.02.2026,Arsenal,Chelsea,Casa,Arsenal,4-3-3,Panchina,3,29,Havertz K.,,7.7,69',,f3TFiSUj
Carabao Cup,SEMI FINALI,03.02.2026,Arsenal,Chelsea,Casa,Arsenal,4-3-3,Panchina,4,49,Lewis-Skelly M.,,,,,f3TFiSUj
Carabao Cup,SEMI FINALI,03.02.2026,Arsenal,Chelsea,Casa,Arsenal,4-3-3,Panchina,5,3,Mosquera C.,,,,,f3TFiSUj
Carabao Cup,SEMI FINALI,03.02.2026,Arsenal,Chelsea,Casa,Arsenal,4-3-3,Panchina,6,16,Norgaard C.,,,,,f3TFiSUj
Carabao Cup,SEMI FINALI,03.02.2026,Arsenal,Chelsea,Casa,Arsenal,4-3-3,Panchina,7,1,Raya D.,Portiere,,,,f3TFiSUj
Carabao Cup,SEMI FINALI,03.02.2026,Arsenal,Chelsea,Casa,Arsenal,4-3-3,Panchina,8,19,Trossard L.,,6.5,69',,f3TFiSUj
