Competizione,Turno,Data,Casa,Ospite,Periodo,Minuto,Lato,Tipo evento,Giocatore,Punteggio dopo,ID partita
Carabao Cup,SEMI FINALI,14.01.2026,Chelsea,Arsenal,2 Tempo,53',Casa,Sostituzione - Entra,Garnacho A.,,OG6rAzoI
Carabao Cup,SEMI FINALI,14.01.2026,Chelsea,Arsenal,2 Tempo,53',Casa,Sostituzione - Esce,Acheampong J.,,OG6rAzoI
Carabao Cup,SEMI FINALI,14.01.2026,Chelsea,Arsenal,2 Tempo,53',Casa,Sostituzione - Entra,Badiashile B.,,OG6rAzoI
Carabao Cup,SEMI FINALI,14.01.2026,Chelsea,Arsenal,2 Tempo,57',Casa,Gol,Garnacho A.,1-2,OG6rAzoI
Carabao Cup,SEMI FINALI,14.01.2026,Chelsea,Arsenal,2 Tempo,57',Casa,Assist,Neto P.,1-2,OG6rAzoI
Carabao Cup,SEMI FINALI,14.01.2026,Chelsea,Arsenal,2 Tempo,65',Casa,Cartellino Giallo,Badiashile B.,,OG6rAzoI
Carabao Cup,SEMI FINALI,14.01.2026,Chelsea,Arsenal,2 Tempo,67',Ospite,Sostituzione - Esce,Trossard L.,,OG6rAzoI
Carabao Cup,SEMI FINALI,14.01.2026,Chelsea,Arsenal,2 Tempo,67',Ospite,Sostituzione - Entra,Martinelli G.,,OG6rAzoI
Carabao Cup,SEMI FINALI,14.01.2026,Chelsea,Arsenal,2 Tempo,68',Ospite,Sostituzione - Esce,Odegaard M.,,OG6rAzoI
Carabao Cup,SEMI FINALI,14.01.2026,Chelsea,Arsenal,2 Tempo,68',Ospite,Sostituzione - Entra,Merino M.,,OG6rAzoI
Carabao Cup,SEMI FINALI,14.01.2026,Chelsea,Arsenal,2 Tempo,71',Ospite,Gol,Zubimendi M.,1-3,OG6rAzoI
Carabao Cup,SEMI FINALI,14.01.2026,Chelsea,Arsenal,2 Tempo,71',Ospite,Assist,Gyökeres V.,1-3,OG6rAzoI
Carabao Cup,SEMI FINALI,14.01.2026,Chelsea,Arsenal,2 Tempo,75',Casa,Sostituzione - Esce,Fofana W.,,OG6rAzoI
Carabao Cup,SEMI FINALI,14.01.2026,Chelsea,Arsenal,2 Tempo,75',Casa,Sostituzione - Entra,Hato J.,,OG6rAzoI
Carabao Cup,SEMI FINALI,14.01.2026,Chelsea,Arsenal,2 Tempo,75',Ospite,Cartellino Giallo,Arrizabalaga K.,,OG6rAzoI
Carabao Cup,SEMI FINALI,14.01.2026,Chelsea,Arsenal,2 Tempo,78',Ospite,Cartellino Giallo,Merino M.,,OG6rAzoI
Carabao Cup,SEMI FINALI,14.01.2026,Chelsea,Arsenal,2 Tempo,81',Casa,Sostituzione - Esce,Joao Pedro,,OG6rAzoI
Carabao Cup,SEMI FINALI,14.01.2026,Chelsea,Arsenal,2 Tempo,81',Casa,Sostituzione - Entra,Mheuka S.,,OG6rAzoI
Carabao Cup,SEMI FINALI,14.01.2026,Chelsea,Arsenal,2 Tempo,81',Casa,Sostituzione - Esce,Cucurella M.,,OG6rAzoI
Carabao Cup,SEMI FINALI,14.01.2026,Chelsea,Arsenal,2 Tempo,81',Casa,Sostituzione - Entra,Adarabioyo T.,,OG6rAzoI
Carabao Cup,SEMI FINALI,14.01.2026,Chelsea,Arsenal,2 Tempo,82',Ospite,Sostituzione - Esce,Rice D.,,OG6rAzoI
Carabao Cup,SEMI FINALI,14.01.2026,Chelsea,Arsenal,2 Tempo,82',Ospite,Sostituzione - Entra,Havertz K.,,OG6rAzoI
Carabao Cup,SEMI FINALI,14.01.2026,Chelsea,Arsenal,2 Tempo,82',Ospite,Sostituzione - Esce,Gyökeres V.,,OG6rAzoI
Carabao Cup,SEMI FINALI,14.01.2026,Chelsea,Arsenal,2 Tempo,82',Ospite,Sostituzione - Entra,Gabriel Jesus,,OG6rAzoI
Carabao Cup,SEMI FINALI,14.01.2026,Chelsea,Arsenal,2 Tempo,83',Casa,Gol,Garnacho A.,2-3,OG6rAzoI
Carabao Cup,SEMI FINALI,14.01.2026,Chelsea,Arsenal,2 Tempo,90',Casa,Cartellino Giallo,Neto P.,,OG6rAzoI
Carabao Cup,SEMI FINALI,14.01.2026,Chelsea,Arsenal,2 Tempo,90+6',Ospite,Cartellino Giallo,Timber J.,,OG6rAzoI
Carabao Cup,SEMI FINALI,13.01.2026,Newcastle,Manchester City,1 Tempo,31',Casa,Cartellino Giallo,Joelinton,,nRFrXndL
Carabao Cup,SEMI FINALI,13.01.2026,Newcastle,Manchester City,1 Tempo,31',Ospite,Cartellino Giallo,O'Reilly N.,,nRFrXndL
Carabao Cup,SEMI FINALI,13.01.2026,Newcastle,Manchester City,1 Tempo,37',Ospite,Cartellino Giallo,Nunes M.,,nRFrXndL
Carabao Cup,SEMI FINALI,13.01.2026,Newcastle,Manchester City,1 Tempo,45+2',Casa,Sostituzione - Esce,Murphy J.,,nRFrXndL
Carabao Cup,SEMI FINALI,13.01.2026,Newcastle,Manchester City,1 Tempo,45+2',Casa,Sostituzione - Entra,Barnes H.,,nRFrXndL
Carabao Cup,SEMI FINALI,13.01.2026,Newcastle,Manchester City,2 Tempo,53',Ospite,Gol,Semenyo A.,0-1,nRFrXndL
Carabao Cup,SEMI FINALI,13.01.2026,Newcastle,Manchester City,2 Tempo,53',Ospite,Assist,Silva B.,0-1,nRFrXndL
Carabao Cup,SEMI FINALI,13.01.2026,Newcastle,Manchester City,2 Tempo,62',Ospite,Sostituzione - Esce,O'Reilly N.,,nRFrXndL
Carabao Cup,SEMI FINALI,13.01.2026,Newcastle,Manchester City,2 Tempo,62',Ospite,Sostituzione - Entra,Rodri,,nRFrXndL
Carabao Cup,SEMI FINALI,13.01.2026,Newcastle,Manchester City,2 Tempo,62',Ospite,Sostituzione - Esce,Foden P.,,nRFrXndL
Carabao Cup,SEMI FINALI,13.01.2026,Newcastle,Manchester City,2 Tempo,62',Ospite,Sostituzione - Entra,Reijnders T.,,nRFrXndL
Carabao Cup,SEMI FINALI,13.01.2026,Newcastle,Manchester City,2 Tempo,62',Ospite,Sostituzione - Esce,Nunes M.,,nRFrXndL
Carabao Cup,SEMI FINALI,13.01.2026,Newcastle,Manchester City,2 Tempo,62',Ospite,Sostituzione - Entra,Lewis R.,,nRFrXndL
Carabao Cup,SEMI FINALI,13.01.2026,Newcastle,Manchester City,2 Tempo,69',Casa,Sostituzione - Esce,Wissa Y.,,nRFrXndL
Carabao Cup,SEMI FINALI,13.01.2026,Newcastle,Manchester City,2 Tempo,69',Casa,Sostituzione - Entra,Woltemade N.,,nRFrXndL
Carabao Cup,SEMI FINALI,13.01.2026,Newcastle,Manchester City,2 Tempo,69',Casa,Sostituzione - Esce,Ramsey J.,,nRFrXndL
Carabao Cup,SEMI FINALI,13.01.2026,Newcastle,Manchester City,2 Tempo,69',Casa,Sostituzione - Entra,Tonali S.,,nRFrXndL
Carabao Cup,SEMI FINALI,13.01.2026,Newcastle,Manchester City,2 Tempo,69',Casa,Sostituzione - Esce,Gordon A.,,nRFrXndL
Carabao Cup,SEMI FINALI,13.01.2026,Newcastle,Manchester City,2 Tempo,69',Casa,Sostituzione - Entra,Elanga A.,,nRFrXndL
Carabao Cup,SEMI FINALI,13.01.2026,Newcastle,Manchester City,2 Tempo,73',Ospite,Cartellino Giallo,Silva B.,,nRFrXndL
Carabao Cup,SEMI FINALI,13.01.2026,Newcastle,Manchester City,2 Tempo,76',Casa,Cartellino Giallo,Bruno Guimaraes,,nRFrXndL
Carabao Cup,SEMI FINALI,13.01.2026,Newcastle,Manchester City,2 Tempo,77',Ospite,Sostituzione - Esce,Doku J.,,nRFrXndL
