competizione,turno,data,casa,ospite,game_id,b_arbitro,b_allenatori,b_undici_titolari,b_minuti_giocati,b_sostituzioni,b_statistiche_individuali,b_statistiche_squadra,incrociabile
Copa del Rey,Second Round,2025-12-04,UE Sant Andreu,Celta de Vigo,4766836.0,True,True,True,True,True,True,True,True
Copa del Rey,Round of 32,2025-12-16,CD Eldense,Real Sociedad,4784341.0,True,True,True,True,True,True,True,True
Copa del Rey,Round of 32,2025-12-16,CD Guadalajara,FC Barcelona,4784340.0,True,True,True,True,True,True,True,True
Copa del Rey,Round of 32,2025-12-16,Deportivo de La Coruña,RCD Mallorca,4784339.0,True,True,True,True,True,True,True,True
Copa del Rey,Round of 32,2025-12-16,SD Eibar,Elche CF,4784338.0,True,True,True,True,True,True,True,True
Copa del Rey,Round of 32,2025-12-16,Sporting Gijón,Valencia CF,4784342.0,True,True,True,True,True,True,True,True
Copa del Rey,Round of 32,2025-12-17,Albacete Balompié,Celta de Vigo,4807313.0,True,True,True,True,True,True,True,True
Copa del Rey,Round of 32,2025-12-17,CD Atlético Baleares,Atlético de Madrid,4784346.0,True,True,True,True,True,True,True,True
Copa del Rey,Round of 32,2025-12-17,CF Talavera de la Reina,Real Madrid,4784347.0,True,True,True,True,True,True,True,True
Copa del Rey,Round of 32,2025-12-17,Cultural Leonesa,Levante UD,4784345.0,True,True,True,True,True,True,True,True
Copa del Rey,Round of 32,2025-12-17,Deportivo Alavés,Sevilla FC,4784348.0,True,True,True,True,True,True,True,True
Copa del Rey,Round of 32,2025-12-17,Racing Santander,Villarreal CF,4784343.0,True,True,True,True,True,True,True,True
Copa del Rey,Round of 32,2025-12-17,SD Huesca,CA Osasuna,4784344.0,True,True,True,True,True,True,True,True
Copa del Rey,Round of 32,2025-12-18,Burgos CF,Getafe CF,4784349.0,True,True,True,True,True,True,True,True
Copa del Rey,Round of 32,2025-12-18,Ourense CF,Athletic Bilbao,4784350.0,True,True,True,True,True,True,True,True
Copa del Rey,Round of 32,2025-12-18,Real Murcia CF,Real Betis Balompié,4784351.0,True,True,True,True,True,True,True,True
Copa del Rey,Round of 32,2026-01-06,Granada CF,Rayo Vallecano,4784352.0,True,True,True,True,True,True,True,True
Copa del Rey,Round of 16,2026-01-13,Cultural Leonesa,Athletic Bilbao,4799993.0,True,True,True,True,True,True,True,True
Copa del Rey,Round of 16,2026-01-13,Deportivo de La Coruña,Atlético de Madrid,4799992.0,True,True,True,True,True,True,True,True
Copa del Rey,Round of 16,2026-01-13,Real Sociedad,CA Osasuna,4799995.0,True,True,True,True,True,True,True,True
Copa del Rey,Round of 16,2026-01-14,Albacete Balompié,Real Madrid,4799990.0,True,True,True,True,True,True,True,True
Copa del Rey,Round of 16,2026-01-14,Deportivo Alavés,Rayo Vallecano,4799997.0,True,True,True,True,True,True,True,True
Copa del Rey,Round of 16,2026-01-14,Real Betis Balompié,Elche CF,4799991.0,True,True,True,True,True,True,True,True
Copa del Rey,Round of 16,2026-01-15,Burgos CF,Valencia CF,4799994.0,True,True,True,True,True,True,True,True
Copa del Rey,Round of 16,2026-01-15,Racing Santander,FC Barcelona,4799989.0,True,True,True,True,True,True,True,True
Copa del Rey,Quarter-Finals,2026-02-03,Albacete Balompié,FC Barcelona,4808016.0,True,True,True,True,True,True,True,True
Copa del Rey,Quarter-Finals,2026-02-04,Deportivo Alavés,Real Sociedad,4808017.0,True,True,True,True,True,True,True,True
Copa del Rey,Quarter-Finals,2026-02-04,Valencia CF,Athletic Bilbao,4808018.0,True,True,True,True,True,True,True,True
Copa del Rey,Quarter-Finals,2026-02-05,Real Betis Balompié,Atlético de Madrid,4808019.0,True,True,True,True,True,True,True,True
Copa del Rey,Semi-Finals 1st Leg,2026-02-11,Athletic Bilbao,Real Sociedad,4819275.0,True,True,True,True,True,True,True,True
Copa del Rey,Semi-Finals 1st Leg,2026-02-12,Atlético de Madrid,FC Barcelona,4819274.0,True,True,True,True,True,True,True,True
Copa del Rey,Semi-Finals 2nd Leg,2026-03-03,FC Barcelona,Atlético de Madrid,4819283.0,True,True,True,True,True,True,True,True
Copa del Rey,Semi-Finals 2nd Leg,2026-03-04,Real Sociedad,Athletic Bilbao,4819284.0,True,True,True,True,True,True,True,True
Copa del Rey,Final,2026-04-18,Atlético de Madrid,Real Sociedad,4842389.0,True,True,True,True,True,True,True,True
Coppa Italia,Qualifying Round,2025-08-09,Virtus Entella,Ternana Calcio,4630638.0,True,True,True,False,True,False,True,False
Coppa Italia,Qualifying Round,2025-08-10,Audace Cerignola,US Avellino 1912,4630640.0,True,True,True,True,True,False,True,False
Coppa Italia,Qualifying Round,2025-08-10,Calcio Padova,Vicenza Calcio,4630639.0,True,True,True,False,True,False,True,False
Coppa Italia,Qualifying Round,2025-08-10,Delfino Pescara 1936,Rimini FC,4630641.0,True,True,True,False,True,False,True,False
Coppa Italia,First Round,2025-08-15,FC Empoli,AC Reggiana 1919,4631307.0,True,True,True,True,True,True,True,True
Coppa Italia,First Round,2025-08-15,Genoa CFC,Vicenza Calcio,4669572.0,True,True,True,True,True,True,True,True
Coppa Italia,First Round,2025-08-15,US Lecce,SS Juve Stabia ,4631309.0,True,True,True,True,True,True,True,True
Coppa Italia,First Round,2025-08-15,US Sassuolo,US Catanzaro,4631308.0,True,True,True,True,True,True,True,True
Coppa Italia,First Round,2025-08-16,Cagliari Calcio,Virtus Entella,4669573.0,True,True,True,True,True,True,True,True
Coppa Italia,First Round,2025-08-16,Como 1907,FC Südtirol-Alto Adige,4631311.0,True,True,True,True,True,True,True,True
Coppa Italia,First Round,2025-08-16,US Cremonese,Palermo FC,4631312.0,True,True,True,True,True,True,True,True
Coppa Italia,First Round,2025-08-16,Venezia FC,Mantova 1911,4631310.0,True,True,True,True,True,True,True,True
Coppa Italia,First Round,2025-08-17,AC Milan,SSC Bari,4631315.0,True,True,True,True,True,True,True,True
Coppa Italia,First Round,2025-08-17,AC Monza,Frosinone Calcio,4631313.0,True,True,True,True,True,True,True,True
Coppa Italia,First Round,2025-08-17,Cesena FC,Pisa Sporting Club,4631314.0,True,True,True,True,True,True,True,True
Coppa Italia,First Round,2025-08-17,Parma Calcio 1913,Delfino Pescara 1936,4669574.0,True,True,True,True,True,True,True,True
