competizione,turno,data,game_id,minuto,tipo,club,club_id,giocatore_id,entrato_id,assist_id,descrizione
EFL Cup,First Round,2025-08-12,4634031,-1,Shootout,West Bromwich Albion,984,314183,,,", Saved"
EFL Cup,First Round,2025-08-12,4634031,-1,Shootout,Derby County,22,323652,,,", Scored"
EFL Cup,First Round,2025-08-12,4634031,-1,Shootout,West Bromwich Albion,984,357656,,,", Scored"
EFL Cup,First Round,2025-08-12,4634031,-1,Shootout,Derby County,22,370559,,,", Saved"
EFL Cup,First Round,2025-08-12,4634031,-1,Shootout,Derby County,22,378872,,,", Scored"
EFL Cup,First Round,2025-08-12,4634031,-1,Shootout,Derby County,22,412943,,,", Scored"
EFL Cup,First Round,2025-08-12,4634031,-1,Shootout,West Bromwich Albion,984,453824,,,", Missed"
EFL Cup,First Round,2025-08-12,4634031,25,Cards,Derby County,22,271997,,,"1. Yellow card  , Foul"
EFL Cup,First Round,2025-08-12,4634031,48,Cards,West Bromwich Albion,984,585769,,,"1. Yellow card  , Foul"
EFL Cup,First Round,2025-08-12,4634031,56,Cards,Derby County,22,49693,,,"1. Yellow card  , Foul"
EFL Cup,First Round,2025-08-12,4634031,63,Substitutions,Derby County,22,49693,926147.0,,", Tactical"
EFL Cup,First Round,2025-08-12,4634031,63,Substitutions,Derby County,22,495993,129049.0,,", Tactical"
EFL Cup,First Round,2025-08-12,4634031,63,Substitutions,Derby County,22,712117,218087.0,,", Tactical"
EFL Cup,First Round,2025-08-12,4634031,63,Substitutions,Derby County,22,865993,323652.0,,", Tactical"
EFL Cup,First Round,2025-08-12,4634031,67,Goals,West Bromwich Albion,984,587222,,612749.0,", Left-footed shot, 1. Tournament Goal Assist: , Pass, 1. Tournament Assist"
EFL Cup,First Round,2025-08-12,4634031,69,Substitutions,West Bromwich Albion,984,626319,198358.0,,", Tactical"
EFL Cup,First Round,2025-08-12,4634031,70,Substitutions,Derby County,22,847371,378872.0,,", Tactical"
EFL Cup,First Round,2025-08-12,4634031,79,Substitutions,West Bromwich Albion,984,587222,453824.0,,", Tactical"
EFL Cup,First Round,2025-08-12,4634031,79,Substitutions,West Bromwich Albion,984,612749,357656.0,,", Tactical"
EFL Cup,First Round,2025-08-12,4634031,83,Cards,Derby County,22,323652,,,"1. Yellow card  , Foul"
EFL Cup,First Round,2025-08-12,4634031,87,Substitutions,West Bromwich Albion,984,297257,314183.0,,", Tactical"
EFL Cup,First Round,2025-08-12,4634031,90,Goals,Derby County,22,370559,,,", Direct free kick, 1. Tournament Goal"
EFL Cup,First Round,2025-08-13,4634032,-1,Shootout,Sheffield Wednesday,1035,137149,,,", Scored"
EFL Cup,First Round,2025-08-13,4634032,-1,Shootout,Sheffield Wednesday,1035,239949,,,", Scored"
EFL Cup,First Round,2025-08-13,4634032,-1,Shootout,Sheffield Wednesday,1035,258885,,,", Scored"
EFL Cup,First Round,2025-08-13,4634032,-1,Shootout,Bolton Wanderers,355,451749,,,", Saved"
EFL Cup,First Round,2025-08-13,4634032,-1,Shootout,Sheffield Wednesday,1035,614262,,,", Scored"
EFL Cup,First Round,2025-08-13,4634032,-1,Shootout,Bolton Wanderers,355,803421,,,", Saved"
EFL Cup,First Round,2025-08-13,4634032,-1,Shootout,Bolton Wanderers,355,874080,,,", Scored"
EFL Cup,First Round,2025-08-13,4634032,-1,Shootout,Bolton Wanderers,355,878150,,,", Scored"
EFL Cup,First Round,2025-08-13,4634032,8,Goals,Sheffield Wednesday,1035,1089410,,,", Right-footed shot, 1. Tournament Goal"
EFL Cup,First Round,2025-08-13,4634032,27,Cards,Bolton Wanderers,355,1188933,,,Red card
EFL Cup,First Round,2025-08-13,4634032,30,Substitutions,Bolton Wanderers,355,1401913,318549.0,,", Tactical"
EFL Cup,First Round,2025-08-13,4634032,36,Goals,Bolton Wanderers,355,397099,,452683.0,", Header, 1. Tournament Goal Assist: , Cross, 1. Tournament Assist"
EFL Cup,First Round,2025-08-13,4634032,37,Goals,Sheffield Wednesday,1035,339943,,,", Right-footed shot, 1. Tournament Goal"
EFL Cup,First Round,2025-08-13,4634032,45,Cards,Bolton Wanderers,355,906254,,,"1. Yellow card  , Foul"
EFL Cup,First Round,2025-08-13,4634032,45,Substitutions,Sheffield Wednesday,1035,1099501,969140.0,,", Injury"
EFL Cup,First Round,2025-08-13,4634032,46,Substitutions,Bolton Wanderers,355,397099,803421.0,,", Tactical"
EFL Cup,First Round,2025-08-13,4634032,46,Substitutions,Sheffield Wednesday,1035,1089410,137149.0,,", Injury"
EFL Cup,First Round,2025-08-13,4634032,62,Substitutions,Bolton Wanderers,355,504855,874080.0,,", Tactical"
EFL Cup,First Round,2025-08-13,4634032,62,Substitutions,Bolton Wanderers,355,1416999,576125.0,,", Tactical"
EFL Cup,First Round,2025-08-13,4634032,69,Substitutions,Sheffield Wednesday,1035,1224170,258885.0,,", Injury"
EFL Cup,First Round,2025-08-13,4634032,70,Cards,Sheffield Wednesday,1035,969142,,,"1. Yellow card  , Foul"
EFL Cup,First Round,2025-08-13,4634032,74,Substitutions,Bolton Wanderers,355,588412,878150.0,,", Tactical"
EFL Cup,First Round,2025-08-13,4634032,77,Goals,Bolton Wanderers,355,576125,,463760.0,", Right-footed shot, 1. Tournament Goal Assist: , 1. Tournament Assist"
EFL Cup,First Round,2025-08-13,4634032,80,Goals,Sheffield Wednesday,1035,1099687,,407734.0,", Left-footed shot, 1. Tournament Goal Assist: , Pass, 1. Tournament Assist"
EFL Cup,First Round,2025-08-13,4634032,81,Substitutions,Sheffield Wednesday,1035,339943,239949.0,,", Tactical"
EFL Cup,First Round,2025-08-13,4634032,81,Substitutions,Sheffield Wednesday,1035,407734,1353029.0,,", Tactical"
EFL Cup,First Round,2025-08-13,4634032,90,Goals,Bolton Wanderers,355,878150,,803421.0,", Left-footed shot, 1. Tournament Goal Assist: , Pass, 1. Tournament Assist"
EFL Cup,First Round,2025-08-12,4634033,1,Cards,Mansfield Town,3820,94655,,,"1. Yellow card  , Foul"
EFL Cup,First Round,2025-08-12,4634033,2,Goals,Mansfield Town,3820,257247,,105185.0,", Right-footed shot, 1. Tournament Goal Assist: , Pass, 1. Tournament Assist"
EFL Cup,First Round,2025-08-12,4634033,36,Substitutions,Mansfield Town,3820,257247,456835.0,,", Injury"
EFL Cup,First Round,2025-08-12,4634033,39,Substitutions,Chesterfield FC,1219,817611,126225.0,,", Injury"
EFL Cup,First Round,2025-08-12,4634033,45,Cards,Mansfield Town,3820,293450,,,"1. Yellow card  , Foul"
EFL Cup,First Round,2025-08-12,4634033,46,Substitutions,Mansfield Town,3820,105185,186624.0,,", Tactical"
EFL Cup,First Round,2025-08-12,4634033,53,Cards,Mansfield Town,3820,344014,,,"1. Yellow card  , Foul"
EFL Cup,First Round,2025-08-12,4634033,59,Goals,Mansfield Town,3820,456835,,,", Right-footed shot, 1. Tournament Goal"
EFL Cup,First Round,2025-08-12,4634033,65,Substitutions,Mansfield Town,3820,355489,694901.0,,", Tactical"
EFL Cup,First Round,2025-08-12,4634033,65,Substitutions,Mansfield Town,3820,675993,178067.0,,", Tactical"
EFL Cup,First Round,2025-08-12,4634033,68,Substitutions,Chesterfield FC,1219,106676,713479.0,,", Tactical"
EFL Cup,First Round,2025-08-12,4634033,68,Substitutions,Chesterfield FC,1219,664581,745728.0,,", Tactical"
EFL Cup,First Round,2025-08-12,4634033,73,Cards,Chesterfield FC,1219,126225,,,"1. Yellow card  , Dissent"
EFL Cup,First Round,2025-08-12,4634033,76,Substitutions,Chesterfield FC,1219,530807,652635.0,,", Tactical"
EFL Cup,First Round,2025-08-12,4634033,76,Substitutions,Chesterfield FC,1219,671486,369563.0,,", Tactical"
EFL Cup,First Round,2025-08-12,4634033,77,Substitutions,Mansfield Town,3820,347666,285287.0,,", Tactical"
EFL Cup,First Round,2025-08-12,4634033,88,Cards,Mansfield Town,3820,694901,,,"1. Yellow card  , Foul"
EFL Cup,First Round,2025-08-13,4634034,-1,Shootout,Fleetwood Town,11177,123198,,,", Scored"
EFL Cup,First Round,2025-08-13,4634034,-1,Shootout,Fleetwood Town,11177,423617,,,", Scored"
EFL Cup,First Round,2025-08-13,4634034,-1,Shootout,Barnsley FC,349,491578,,,", Scored"
