competizione,paese,turno,data,casa,ospite,gol_casa_90,gol_ospite_90,gol_casa_finale,gol_ospite_finale,rigori_casa,rigori_ospite,supplementari,gol_casa_dichiarato,gol_ospite_dichiarato,eventi_incompleti,divisione_casa,divisione_ospite,dentro_perimetro,arbitro,stadio,spettatori,allenatore_casa,allenatore_ospite,modulo_casa,modulo_ospite,game_id,competition_id,home_club_id,away_club_id,fonte,url,sigla_divisione_casa,sigla_divisione_ospite
Copa del Rey,ES,First Round,2025-10-28,Utebo FC,SD Huesca,0,3,0,3,,,False,0,3,False,3.0,2.0,True,Manuel Ángel Pérez Hernández,Santa Ana,3500.0,Juan Carlos Beltrán,Sergi Guilló,4-2-3-1,4-2-3-1,4743282,CDR,13244,5358,player-scores,https://www.transfermarkt.co.uk/spielbericht/index/spielbericht/4743282,,
Copa del Rey,ES,First Round,2025-10-29,Atlètic Sant Just,RCD Mallorca,0,2,0,2,,,False,0,2,False,3.0,1.0,True,Alejandro Muñiz Ruiz,Municipal de L’Hospitalet,2000.0,Conrad García,Jagoba Arrasate,5-4-1,4-2-3-1,4743277,CDR,93935,237,player-scores,https://www.transfermarkt.co.uk/spielbericht/index/spielbericht/4743277,,
Copa del Rey,ES,First Round,2025-10-29,Atlético Astorga,CD Mirandés,1,1,1,1,3.0,4.0,False,4,5,False,3.0,2.0,True,Germán Cid Camacho,La Eragudina,800.0,Joselu Lago,Fran Justo,5-3-2,5-4-1,4743269,CDR,40977,13222,player-scores,https://www.transfermarkt.co.uk/spielbericht/index/spielbericht/4743269,,
Copa del Rey,ES,First Round,2025-10-29,CD Azuaga,CD Leganés,1,4,1,4,,,False,1,4,False,3.0,2.0,True,Dámaso Arcediano Monescillo,Municipal de Azuaga,1300.0,José Miguel Ramos,Paco López,4-2-3-1,4-2-3-1,4743306,CDR,44640,1244,player-scores,https://www.transfermarkt.co.uk/spielbericht/index/spielbericht/4743306,,
Copa del Rey,ES,First Round,2025-10-29,CD Cieza,Córdoba CF,1,0,1,0,,,False,1,0,False,3.0,2.0,True,Sergiu Claudiu Muresan,La Arboleja,2900.0,Ranko Despotovic,Iván Ania,4-2-3-1,4-3-3 Attacking,4743295,CDR,56725,993,player-scores,https://www.transfermarkt.co.uk/spielbericht/index/spielbericht/4743295,,
Copa del Rey,ES,First Round,2025-10-29,CD Ebro,SD Tarazona,1,1,1,1,4.0,3.0,False,5,4,False,3.0,3.0,True,Pol Arenas Mora,La Almozara-El Carmen,900.0,Javier Genovés,Juanma Barrero,4-3-3 Attacking,5-3-2,4743284,CDR,47880,41403,player-scores,https://www.transfermarkt.co.uk/spielbericht/index/spielbericht/4743284,,
Copa del Rey,ES,First Round,2025-10-29,CD Numancia,Arenas Club,3,0,3,0,,,False,3,0,False,3.0,3.0,True,Guillermo Conejero Sánchez,Los Pajaritos,2143.0,Ángel Rodríguez,Jon Erice,4-3-3 Attacking,4-4-2,4743272,CDR,2296,16122,player-scores,https://www.transfermarkt.co.uk/spielbericht/index/spielbericht/4743272,,
Copa del Rey,ES,First Round,2025-10-29,CD Quintanar del Rey,UD Ibiza,1,1,1,1,4.0,3.0,False,5,4,False,3.0,3.0,True,Marcelo Ibáñez Juárez,San Marcos,2000.0,Pedro Bolaños,Miguel Álvarez,4-5-1 flat,4-2-3-1,4743311,CDR,47486,13241,player-scores,https://www.transfermarkt.co.uk/spielbericht/index/spielbericht/4743311,,
Copa del Rey,ES,First Round,2025-10-29,CD Sant Jordi,CA Osasuna,0,5,0,5,,,False,0,5,False,3.0,1.0,True,Miguel Ángel Ortiz Arias,Son Malferit,1800.0,Ivan Oliver,Alessio Lisci,5-3-2,4-3-3 Attacking,4743278,CDR,84296,331,player-scores,https://www.transfermarkt.co.uk/spielbericht/index/spielbericht/4743278,,
Copa del Rey,ES,First Round,2025-10-29,CD Unión Malacitano,AD Ceuta FC,0,2,0,2,,,False,0,2,False,3.0,2.0,True,Saúl Ais Reig,Juan Cayuela,1100.0,José Miguel Campos,José Juan Romero,4-2-3-1,4-2-3-1,4743316,CDR,132258,8568,player-scores,https://www.transfermarkt.co.uk/spielbericht/index/spielbericht/4743316,,
Copa del Rey,ES,First Round,2025-10-29,CD Yuncos,Rayo Vallecano,1,6,1,6,,,False,1,6,False,3.0,1.0,True,José Luis Munuera Montero,Villa de Yuncos,5000.0,Juanlu Mora,Iñigo Pérez,4-2-3-1,4-2-3-1,4743305,CDR,62414,367,player-scores,https://www.transfermarkt.co.uk/spielbericht/index/spielbericht/4743305,,
