competizione,turno_diretta,data,casa,ospite,club_casa,club_ospite,id_diretta,game_id,turno_nostro
DFB-Pokal,1/32 FINALE,2025-08-18,Dresda,Magonza,129,39,2FTFQLFO,4623572.0,First Round
DFB-Pokal,1/32 FINALE,2025-08-18,Munster,Hertha,91,44,2ghuErWI,4623586.0,First Round
DFB-Pokal,1/32 FINALE,2025-08-18,Schweinfurt,Dusseldorf,103,38,4xJgEW84,4623574.0,First Round
DFB-Pokal,1/32 FINALE,2025-08-17,Hallescher,Augusta,440,167,I1zSynOP,4623600.0,First Round
DFB-Pokal,1/32 FINALE,2025-08-17,Homburg,Kiel,459,269,GxEZ4SVj,4623584.0,First Round
DFB-Pokal,1/32 FINALE,2025-08-17,Ulm,Elversberg,69,64,KU61PHY2,4623603.0,First Round
DFB-Pokal,1/32 FINALE,2025-08-17,Delmenhorst,Monchengladbach,29988,18,04C2CAwH,4623599.0,First Round
DFB-Pokal,1/32 FINALE,2025-08-17,Lohne,Furth,4883,65,4OwLaXgB,4623581.0,First Round
DFB-Pokal,1/32 FINALE,2025-08-17,Lokomotive Leipzig,Schalke,497,33,0jXTcBON,4623578.0,First Round
DFB-Pokal,1/32 FINALE,2025-08-17,Meuselwitz,Karlsruher,2643,48,YFurxeI8,4623594.0,First Round
DFB-Pokal,1/32 FINALE,2025-08-17,Regensburg,Colonia,109,3,SfA9Ne3F,4623585.0,First Round
DFB-Pokal,1/32 FINALE,2025-08-17,RSV Eintracht,Kaiserslautern,29476,2,dCFoGhvh,4623597.0,First Round
DFB-Pokal,1/32 FINALE,2025-08-17,Engers,Francoforte,2085,24,lAbILZXR,4623592.0,First Round
DFB-Pokal,1/32 FINALE,2025-08-17,Viktoria Koln,Paderborn,1622,127,WAuD1gPb,4623598.0,First Round
DFB-Pokal,1/32 FINALE,2025-08-16,Cottbus,Hannover,25,42,zqn43Ffn,4623583.0,First Round
DFB-Pokal,1/32 FINALE,2025-08-16,Lotte,Friburgo,668,60,t0u7SsoC,4623588.0,First Round
DFB-Pokal,1/32 FINALE,2025-08-16,VfB Lubeck,Darmstadt,78,105,SGcGJn2s,4623591.0,First Round
DFB-Pokal,1/32 FINALE,2025-08-16,Bahlinger,Heidenheim,1193,2036,COcxPmNM,4623579.0,First Round
DFB-Pokal,1/32 FINALE,2025-08-16,Hemelingen,Wolfsburg,26444,82,YHAAAl8T,4623602.0,First Round
DFB-Pokal,1/32 FINALE,2025-08-16,Illertissen,Norimberga,1468,4,GGxahkno,4623593.0,First Round
DFB-Pokal,1/32 FINALE,2025-08-16,Norderstedt,St. Pauli,117,35,2gxHH5Fd,4623590.0,First Round
DFB-Pokal,1/32 FINALE,2025-08-16,Rostock,Hoffenheim,30,533,rq6LSVNc,4623580.0,First Round
DFB-Pokal,1/32 FINALE,2025-08-16,Sandhausen,RB Lipsia,254,23826,YZyaU3Ga,4623582.0,First Round
DFB-Pokal,1/32 FINALE,2025-08-16,BFC Dynamo,Bochum,222,80,fTlXF416,4623589.0,First Round
DFB-Pokal,1/32 FINALE,2025-08-16,Pirmasens,Amburgo,726,41,4bfUQ9hA,4623601.0,First Round
DFB-Pokal,1/32 FINALE,2025-08-15,Bielefeld,Brema,10,86,hv9PpP0t,4623573.0,First Round
DFB-Pokal,1/32 FINALE,2025-08-15,FC Gutersloh,Union Berlino,220,89,YD0OHQWg,4623587.0,First Round
DFB-Pokal,1/32 FINALE,2025-08-15,Grossaspach,Leverkusen,2589,15,WCzgdbmJ,4623576.0,First Round
DFB-Pokal,1/32 FINALE,2025-08-15,Saarbrucken,Magdeburg,1,187,EXLcWPom,4623577.0,First Round
EFL Cup,FINALE,2026-03-22,Arsenal,Manchester City,11,281,rJ3qBSJD,4818788.0,Final
EFL Cup,SEMI FINALI,2026-02-04,Manchester City,Newcastle,281,762,d01ERQJr,4798811.0,Semi-Finals 2nd Leg
EFL Cup,SEMI FINALI,2026-02-03,Arsenal,Chelsea,11,631,f3TFiSUj,4798810.0,Semi-Finals 2nd Leg
EFL Cup,SEMI FINALI,2026-01-14,Chelsea,Arsenal,631,11,OG6rAzoI,4798809.0,Semi-Finals 1st Leg
EFL Cup,SEMI FINALI,2026-01-13,Newcastle,Manchester City,762,281,nRFrXndL,4798808.0,Semi-Finals 1st Leg
EFL Cup,QUARTI DI FINALE,2025-12-23,Arsenal,Crystal Palace,11,873,lAjU9kWj,4769165.0,Quarter-Finals
EFL Cup,QUARTI DI FINALE,2025-12-17,Newcastle,Fulham,762,931,t4wGXhOc,4769164.0,Quarter-Finals
EFL Cup,QUARTI DI FINALE,2025-12-17,Manchester City,Brentford,281,1148,UP9cFB8T,4769163.0,Quarter-Finals
EFL Cup,QUARTI DI FINALE,2025-12-16,Cardiff,Chelsea,603,631,06gHVWhA,4769166.0,Quarter-Finals
EFL Cup,1/8 FINALE,2025-10-29,Newcastle,Tottenham,762,148,U9X1NLGM,4740854.0,Fourth Round
EFL Cup,1/8 FINALE,2025-10-29,Arsenal,Brighton,11,1237,KfvZFw9d,4740850.0,Fourth Round
EFL Cup,1/8 FINALE,2025-10-29,Liverpool,Crystal Palace,31,873,CUzRHavp,4740851.0,Fourth Round
EFL Cup,1/8 FINALE,2025-10-29,Swansea,Manchester City,2288,281,ddZgPsnA,4740852.0,Fourth Round
EFL Cup,1/8 FINALE,2025-10-29,Wolves,Chelsea,543,631,8GKTyLVF,4740853.0,Fourth Round
EFL Cup,1/8 FINALE,2025-10-28,Wrexham,Cardiff,1112,603,lQSyza0S,4740849.0,Fourth Round
EFL Cup,1/8 FINALE,2025-10-28,Grimsby,Brentford,1034,1148,0jHLws13,4740847.0,Fourth Round
EFL Cup,1/8 FINALE,2025-10-28,Wycombe,Fulham,2805,931,0UuoR3Hc,4740848.0,Fourth Round
EFL Cup,1/16 FINALE,2025-09-24,Port Vale,Arsenal,1211,11,6omle85S,4715849.0,Third Round
EFL Cup,1/16 FINALE,2025-09-24,Huddersfield,Manchester City,1110,281,xYH4cwVb,4715846.0,Third Round
EFL Cup,1/16 FINALE,2025-09-24,Newcastle,Bradford City,762,1027,bLqtcUzG,4715848.0,Third Round
EFL Cup,1/16 FINALE,2025-09-24,Tottenham,Doncaster,148,2454,WzFdaa0n,4715852.0,Third Round
