competizione,paese,turno,data,casa,ospite,gol_casa_finale,gol_ospite_finale,rigori_casa,rigori_ospite,divisione_casa,divisione_ospite,gia_abbiamo_formazioni
Copa del Rey,ES,Second Round,2025-12-04,CD Tenerife,Granada CF,0,1,,,3.0,2.0,True
Copa del Rey,ES,Second Round,2025-12-04,CE Sabadell FC,Deportivo de La Coruña,0,2,,,3.0,2.0,True
Copa del Rey,ES,Second Round,2025-12-04,FC Cartagena,Valencia CF,1,2,,,3.0,1.0,True
Copa del Rey,ES,Second Round,2025-12-04,Real Zaragoza,Burgos CF,0,1,,,2.0,2.0,True
Copa del Rey,ES,Second Round,2025-12-04,Real Ávila CF,Rayo Vallecano,1,2,,,3.0,1.0,True
Copa del Rey,ES,Second Round,2025-12-04,SD Ponferradina,Racing Santander,1,2,,,3.0,2.0,True
Copa del Rey,ES,Second Round,2025-12-04,UE Sant Andreu,Celta de Vigo,1,1,6.0,7.0,3.0,1.0,True
Copa del Rey,ES,Round of 32,2025-12-16,CD Eldense,Real Sociedad,1,2,,,3.0,1.0,True
Copa del Rey,ES,Round of 32,2025-12-16,CD Guadalajara,FC Barcelona,0,2,,,3.0,1.0,True
Copa del Rey,ES,Round of 32,2025-12-16,Deportivo de La Coruña,RCD Mallorca,1,0,,,2.0,1.0,True
Copa del Rey,ES,Round of 32,2025-12-16,SD Eibar,Elche CF,0,1,,,2.0,1.0,True
Copa del Rey,ES,Round of 32,2025-12-16,Sporting Gijón,Valencia CF,0,2,,,2.0,1.0,True
Copa del Rey,ES,Round of 32,2025-12-17,Albacete Balompié,Celta de Vigo,2,2,3.0,0.0,2.0,1.0,True
Copa del Rey,ES,Round of 32,2025-12-17,CD Atlético Baleares,Atlético de Madrid,2,3,,,3.0,1.0,True
Copa del Rey,ES,Round of 32,2025-12-17,CF Talavera de la Reina,Real Madrid,2,3,,,3.0,1.0,True
Copa del Rey,ES,Round of 32,2025-12-17,Cultural Leonesa,Levante UD,1,0,,,2.0,1.0,True
Copa del Rey,ES,Round of 32,2025-12-17,Deportivo Alavés,Sevilla FC,1,0,,,1.0,1.0,True
Copa del Rey,ES,Round of 32,2025-12-17,Racing Santander,Villarreal CF,2,1,,,2.0,1.0,True
Copa del Rey,ES,Round of 32,2025-12-17,SD Huesca,CA Osasuna,2,4,,,2.0,1.0,True
Copa del Rey,ES,Round of 32,2025-12-18,Burgos CF,Getafe CF,3,1,,,2.0,1.0,True
Copa del Rey,ES,Round of 32,2025-12-18,Ourense CF,Athletic Bilbao,0,1,,,3.0,1.0,True
Copa del Rey,ES,Round of 32,2025-12-18,Real Murcia CF,Real Betis Balompié,0,2,,,3.0,1.0,True
Copa del Rey,ES,Round of 32,2026-01-06,Granada CF,Rayo Vallecano,1,3,,,2.0,1.0,True
