date,season,league,home_team,away_team,home_goals,away_goals,result,home_sot,away_sot,odds_home,odds_draw,odds_away,odds_over25,odds_under25,home_xg,away_xg,home_npxg,home_ppda,home_deep,away_npxg,away_ppda,away_deep,home_squad_value,away_squad_value,home_absent_count_est,home_absent_value_est,away_absent_count_est,away_absent_value_est,home_rest_days_full,away_rest_days_full,home_midweek_europe,away_midweek_europe,odds_home_open,odds_draw_open,odds_away_open,odds_over25_open,odds_under25_open
2022-02-06,2122,serie_a,Atalanta,Cagliari,1,2,A,3,4,1.22,6.74,13.11,1.47,2.71,0.983984,1.62586,0.983984,7.0606060606060606,15.0,1.62586,22.923076923076923,7.0,427650000.0,152250000.0,4.0,51150000.0,8.0,44500000.0,14.0,14.0,0,0,1.23,6.55,12.32,1.41,2.85
2022-02-06,2122,serie_a,Bologna,Empoli,0,0,D,2,4,2.05,3.52,3.68,1.73,2.13,0.553308,1.87705,0.553308,4.4,4.0,1.87705,14.789473684210526,9.0,166100000.0,76500000.0,5.0,16300000.0,4.0,8800000.0,14.0,14.0,0,0,2.01,3.69,3.6,1.61,2.32
2022-02-06,2122,serie_a,Juventus,Verona,2,0,H,8,1,1.6,3.93,6.18,2.01,1.82,1.38424,0.434667,1.38424,8.464285714285714,8.0,0.434667,10.125,9.0,706900000.0,122550000.0,3.0,86500000.0,4.0,15500000.0,14.0,14.0,0,0,1.55,4.29,6.04,1.76,2.08
2022-02-06,2122,serie_a,Sampdoria,Sassuolo,4,0,H,7,9,2.75,3.7,2.45,1.58,2.4,2.41944,1.32565,1.65814,15.157894736842104,7.0,1.32565,7.56,9.0,147550000.0,197050000.0,3.0,22000000.0,1.0,7000000.0,14.0,14.0,0,0,2.82,3.72,2.38,1.6,2.35
2022-02-06,2122,serie_a,Udinese,Torino,2,0,H,3,1,3.16,3.16,2.43,2.23,1.67,1.18272,0.231176,0.42142,13.894736842105264,7.0,0.231176,4.96,0.0,,198275000.0,2.0,7500000.0,2.0,30000000.0,14.0,14.0,0,0,3.08,3.25,2.42,2.12,1.73
2022-02-06,2122,serie_a,Venezia,Napoli,0,2,A,3,6,7.47,4.47,1.46,1.76,2.09,0.387253,1.79731,0.387253,26.4375,1.0,1.79731,8.375,17.0,85975000.0,457550000.0,4.0,6175000.0,3.0,56000000.0,14.0,14.0,0,0,7.47,4.7,1.43,1.68,2.21
2022-02-07,2122,serie_a,Salernitana,Spezia,2,2,D,5,2,2.73,3.23,2.73,2.04,1.8,0.419799,1.99832,0.419799,14.785714285714286,3.0,0.475721,7.533333333333333,1.0,69950000.0,,4.0,4300000.0,2.0,6200000.0,14.0,14.0,0,0,2.9,3.39,2.46,1.9,1.91
2022-02-12,2122,serie_a,Lazio,Bologna,3,0,H,6,3,1.66,4.01,5.18,1.76,2.08,2.15933,0.975118,1.39803,11.035714285714286,9.0,0.975118,18.142857142857142,5.0,,166100000.0,2.0,10200000.0,3.0,14500000.0,3.0,6.0,1,0,1.72,3.98,4.69,1.74,2.12
2022-02-12,2122,serie_a,Napoli,Inter,1,1,D,4,2,2.73,3.35,2.65,1.86,1.98,1.87896,0.770409,1.11766,25.5,4.0,0.770409,12.77777777777778,6.0,457550000.0,565000000.0,2.0,48000000.0,5.0,132500000.0,6.0,4.0,0,1,2.73,3.47,2.56,1.85,1.98
2022-02-12,2122,serie_a,Torino,Venezia,1,2,A,2,2,1.55,4.08,6.47,1.85,1.98,0.545957,0.468815,0.545957,5.235294117647059,4.0,0.468815,12.705882352941176,3.0,198275000.0,85975000.0,3.0,45000000.0,3.0,7300000.0,6.0,6.0,0,0,1.5,4.26,6.98,1.88,1.94
