player_id,nome,nostro,censurato,stato,url,identita,bday_pagina,nascita_attesa,identita_wikidata,forma_discrepanza
39983,Leonardo Bonucci,True,True,ok,https://en.wikipedia.org/wiki/Leonardo_Bonucci,confermata_data,1987-05-01,1987-05-01,,
85288,Isco,True,True,ok,https://en.wikipedia.org/wiki/Isco,confermata_data,1992-04-21,1992-04-21,,
138927,Daniel Carvajal,True,True,ok,https://en.wikipedia.org/wiki/Daniel_Carvajal,confermata_data,1992-01-11,1992-01-11,,
8198,Cristiano Ronaldo,True,True,ok,https://en.wikipedia.org/wiki/Cristiano_Ronaldo,confermata_data,1985-02-05,1985-02-05,,
52769,Willian,True,True,nessun_infobox,https://en.wikipedia.org/wiki/Willian,non_verificata,,1988-08-09,,
44058,Wojciech Szczesny,True,True,ok,https://en.wikipedia.org/wiki/Wojciech_Szczesny,confermata_data,1990-04-18,1990-04-18,,
84301,Benjamin André,True,True,ok,https://en.wikipedia.org/wiki/Benjamin_Andr%C3%A9,confermata_data,1990-08-03,1990-08-03,,
111196,Stefan de Vrij,True,True,ok,https://en.wikipedia.org/wiki/Stefan_de_Vrij,confermata_data,1992-02-05,1992-02-05,,
3333,James Milner,True,True,ok,https://en.wikipedia.org/wiki/James_Milner,confermata_data,1986-01-04,1986-01-04,,
74294,Nemanja Gudelj,True,True,ok,https://en.wikipedia.org/wiki/Nemanja_Gudelj,confermata_data,1991-11-16,1991-11-16,,
182913,Adrien Rabiot,True,True,ok,https://en.wikipedia.org/wiki/Adrien_Rabiot,confermata_data,1995-04-03,1995-04-03,,
74230,Pablo Sarabia,True,True,ok,https://en.wikipedia.org/wiki/Pablo_Sarabia,confermata_data,1992-05-11,1992-05-11,,
181579,James Ward-Prowse,True,True,ok,https://en.wikipedia.org/wiki/James_Ward-Prowse,confermata_data,1994-11-01,1994-11-01,,
35047,Axel Witsel,True,True,ok,https://en.wikipedia.org/wiki/Axel_Witsel,confermata_data,1989-01-12,1989-01-12,,
74842,Mario Götze,True,True,ok,https://en.wikipedia.org/wiki/Mario_G%C3%B6tze,confermata_data,1992-06-03,1992-06-03,,
45672,Kevin Trapp,True,True,ok,https://en.wikipedia.org/wiki/Kevin_Trapp,confermata_data,1990-07-08,1990-07-08,,
96718,Óscar de Marcos,True,True,ok,https://en.wikipedia.org/wiki/%C3%93scar_de_Marcos,confermata_data,1989-04-14,1989-04-14,,
148928,Saúl Ñíguez,True,True,ok,https://en.wikipedia.org/wiki/Sa%C3%BAl_%C3%91%C3%ADguez,confermata_data,1994-11-21,1994-11-21,,
