Competizione,Turno,Data,Casa,Ospite,Gol casa 90,Gol ospite 90,Gol casa dts,Gol ospite dts,Rigori casa,Rigori ospite,Risultato (esteso),Nota andata/ritorno,Stat giocatori disponibili,ID partita
Coppa di Francia,8° turno,29.11.2025,Chalon,Le Puy-en-Velay,0,1,,,,,0-1,,No,h4UuZW8K
Coppa di Francia,8° turno,29.11.2025,Ancienne Chateau-Gontier,Guingamp,0,4,,,,,0-4,,No,QBHSPSV6
Coppa di Francia,8° turno,29.11.2025,Raon L Etape,Mulhouse,2,2,,,4,1,"2-2, poi rigori 4-1",,No,2LpZxzRh
Coppa di Francia,8° turno,29.11.2025,Mazeres,Bordeaux,3,4,,,,,3-4,,No,6giQvddt
Coppa di Francia,8° turno,29.11.2025,Perigny,Beaucouze,3,1,,,,,3-1,,No,feaewq5U
Coppa di Francia,8° turno,29.11.2025,Chauvigny,Stade Poitevin,3,3,,,12,11,"3-3, poi rigori 12-11",,No,dblMM2Jc
Coppa di Francia,8° turno,29.11.2025,Marmande,Bassin d'Arcachon,0,0,,,1,4,"0-0, poi rigori 1-4",,No,p29KRl1f
Coppa di Francia,8° turno,29.11.2025,St. Etienne,Ecotay Moingt,11,1,,,,,11-1,,No,hQsVKtlA
Coppa di Francia,8° turno,29.11.2025,AS Le Gosier,Oissel,2,2,,,4,2,"2-2, poi rigori 4-2",,No,fkvHmiuB
Coppa di Francia,8° turno,29.11.2025,Espoir,Pontivy,0,4,,,,,0-4,,No,M3fcTMgd
Coppa di Francia,8° turno,30.11.2025,Cormontreuil,Chantilly,1,2,,,,,1-2,,No,WG24Zu33
Coppa di Francia,8° turno,30.11.2025,Saint-Cyr Collonges,FC Rhone,0,0,,,5,4,"0-0, poi rigori 5-4",,No,pOM9Dbtp
Coppa di Francia,8° turno,30.11.2025,Avranches,Aubervilliers,1,1,,,2,0,"1-1, poi rigori 2-0",,No,bT5nu5zI
Coppa di Francia,8° turno,30.11.2025,Les Sables,Plouvorn,2,1,,,,,2-1,,No,xbubXVfU
Coppa di Francia,8° turno,30.11.2025,Touraine,Troyes,0,2,,,,,0-2,,No,4jnyaaRj
Coppa di Francia,32esimi di finale,19.12.2025,Canet Roussillon,Montpellier,0,1,,,,,0-1,,Sì,ENdFhWIr
Coppa di Francia,32esimi di finale,19.12.2025,Perigny,Le Mans,1,2,,,,,1-2,,Sì,txNHmpyn
Coppa di Francia,32esimi di finale,19.12.2025,IC Croix,Reims,0,4,,,,,0-4,,Sì,ryzrBvZ9
Coppa di Francia,32esimi di finale,19.12.2025,Guingamp,Laval,0,1,,,,,0-1,,Sì,pQTMS30C
Coppa di Francia,32esimi di finale,19.12.2025,Les Herbiers,Angers,0,0,,,5,6,"0-0, poi rigori 5-6",,Sì,MVlmkcCj
Coppa di Francia,32esimi di finale,19.12.2025,Avranches,Brest,1,1,,,5,4,"1-1, poi rigori 5-4",,Sì,UX98duKG
Coppa di Francia,32esimi di finale,19.12.2025,Lens,Feignies-Aulnoye,3,1,,,,,3-1,,Sì,OzP43mX0
Coppa di Francia,32esimi di finale,20.12.2025,Bayeux,Blois,2,1,,,,,2-1,,Sì,IFgWllI7
Coppa di Francia,32esimi di finale,20.12.2025,Lusitanos,Lilla,0,1,,,,,0-1,,Sì,jNQd592l
Coppa di Francia,32esimi di finale,20.12.2025,Olympique Marcquois,Troyes,1,3,,,,,1-3,,Sì,6JteE4oJ
Coppa di Francia,32esimi di finale,20.12.2025,Freyming,Chantilly,0,3,,,,,0-3,,Sì,x0QEUPVa
Coppa di Francia,32esimi di finale,20.12.2025,AS Le Gosier,Lorient,0,7,,,,,0-7,,Sì,xIea0NKi
Coppa di Francia,32esimi di finale,20.12.2025,Biesheim,Metz,0,3,,,,,0-3,,Sì,x4GQoO5b
Coppa di Francia,32esimi di finale,20.12.2025,Grenoble,Nancy,1,1,,,3,5,"1-1, poi rigori 3-5",,Sì,ptAaPUgK
Coppa di Francia,32esimi di finale,20.12.2025,Lyon - La Duchere,Tolosa,1,2,,,,,1-2,,Sì,AVg7b1k4
Coppa di Francia,32esimi di finale,20.12.2025,Raon L Etape,Paris FC,0,3,,,,,0-3,,Sì,QZyVQsVO
Coppa di Francia,32esimi di finale,20.12.2025,SA Merignac,Istres,0,0,,,5,6,"0-0, poi rigori 5-6",,Sì,WxpQAVvR
Coppa di Francia,32esimi di finale,20.12.2025,Pontivy,Bastia,0,1,,,,,0-1,,Sì,xbDGfJlT
Coppa di Francia,32esimi di finale,20.12.2025,Bethune,Sochaux,2,4,,,,,2-4,,Sì,M9DCxKSp
Coppa di Francia,32esimi di finale,20.12.2025,Fontenay,PSG,0,4,,,,,0-4,,Sì,Y5rmGQG6
Coppa di Francia,32esimi di finale,21.12.2025,Strasburgo,Dunkerque,2,1,,,,,2-1,,Sì,AkjOjAme
Coppa di Francia,32esimi di finale,21.12.2025,Nizza,St. Etienne,2,1,,,,,2-1,Porte chiuse.,Sì,jRMtrt5N
Coppa di Francia,32esimi di finale,21.12.2025,Bourg en Bresse,Marsiglia,0,6,,,,,0-6,,Sì,K2ID1R1D
Coppa di Francia,32esimi di finale,21.12.2025,Auxerre,Monaco,1,2,,,,,1-2,,Sì,p2ozx8wQ
