Competizione,Turno,Data,Casa,Ospite,Lato,Squadra,Modulo,Gruppo,Ordine,Numero,Giocatore,Ruolo,Rating,Entrato al,Uscito al,ID partita
Coppa di Francia,32esimi di finale,19.12.2025,Perigny,Le Mans,Ospite,Le Mans,3-5-2,Titolare,3,5,Yohou S.,,6.9,,,txNHmpyn
Coppa di Francia,32esimi di finale,19.12.2025,Perigny,Le Mans,Ospite,Le Mans,3-5-2,Titolare,4,3,Cossier I.,,6.8,,,txNHmpyn
Coppa di Francia,32esimi di finale,19.12.2025,Perigny,Le Mans,Ospite,Le Mans,3-5-2,Titolare,5,7,Buades L.,,7.8,,,txNHmpyn
Coppa di Francia,32esimi di finale,19.12.2025,Perigny,Le Mans,Ospite,Le Mans,3-5-2,Titolare,6,4,Hammoudi I.,,6.5,,61',txNHmpyn
Coppa di Francia,32esimi di finale,19.12.2025,Perigny,Le Mans,Ospite,Le Mans,3-5-2,Titolare,7,8,Rossignol M.,,7.7,,82',txNHmpyn
Coppa di Francia,32esimi di finale,19.12.2025,Perigny,Le Mans,Ospite,Le Mans,3-5-2,Titolare,8,6,Quarshie E.,Capitano,7.4,,,txNHmpyn
Coppa di Francia,32esimi di finale,19.12.2025,Perigny,Le Mans,Ospite,Le Mans,3-5-2,Titolare,9,11,Abanda L.,,6.5,,61',txNHmpyn
Coppa di Francia,32esimi di finale,19.12.2025,Perigny,Le Mans,Ospite,Le Mans,3-5-2,Titolare,10,10,Luvambo T.,,7.4,,70',txNHmpyn
Coppa di Francia,32esimi di finale,19.12.2025,Perigny,Le Mans,Ospite,Le Mans,3-5-2,Titolare,11,9,Gueye D.,,6.6,,61',txNHmpyn
Coppa di Francia,32esimi di finale,19.12.2025,Perigny,Le Mans,Ospite,Le Mans,3-5-2,Panchina,1,18,Caro T.,,,,,txNHmpyn
Coppa di Francia,32esimi di finale,19.12.2025,Perigny,Le Mans,Ospite,Le Mans,3-5-2,Panchina,2,14,Guillaume B.,,6.4,61',,txNHmpyn
