Competizione,Turno,Data,Casa,Ospite,Periodo,Lato,Squadra,ID partita,Cartellini gialli,Cartellini rossi,Goal previsti (xG),Possesso palla,Tiri totali,Tiri in porta,Grandi occasioni,Calci d'angolo,Passaggi,xG sui Tiri in porta (xGOT),Tiri fuori,Tiri fermati,Tiri dall'area di rigore,Tiri da fuori area,Pali colpiti,Gol di testa,Palloni toccati nell'area avversaria,Passaggi filtranti riusciti,Fuorigioco,Punizioni,Passaggi lunghi,Passaggi offensivi,Cross,Assist previsti (xA),Rimesse Laterali,Falli,Tackles,Contrasti vinti,Respinte difensive,Palle intercettate,Errori che hanno portato al tiro,Errori che hanno portato al gol,Parate,xGot affrontati,Gol evitati
Coppa di Francia,7° turno,15.11.2025,Montmorillon,Beaucouze,2° tempo,Casa,Montmorillon,UoT32cAk,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coppa di Francia,7° turno,15.11.2025,Montmorillon,Beaucouze,2° tempo,Ospite,Beaucouze,UoT32cAk,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coppa di Francia,7° turno,15.11.2025,SS Allinges,Istres,Totale,Casa,SS Allinges,W6o5ebGl,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coppa di Francia,7° turno,15.11.2025,SS Allinges,Istres,Totale,Ospite,Istres,W6o5ebGl,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coppa di Francia,7° turno,15.11.2025,SS Allinges,Istres,2° tempo,Casa,SS Allinges,W6o5ebGl,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coppa di Francia,7° turno,15.11.2025,SS Allinges,Istres,2° tempo,Ospite,Istres,W6o5ebGl,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coppa di Francia,7° turno,15.11.2025,Auch,Canet Roussillon,Totale,Casa,Auch,0nwlQYWa,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coppa di Francia,7° turno,15.11.2025,Auch,Canet Roussillon,Totale,Ospite,Canet Roussillon,0nwlQYWa,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coppa di Francia,7° turno,15.11.2025,Auch,Canet Roussillon,2° tempo,Casa,Auch,0nwlQYWa,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coppa di Francia,7° turno,15.11.2025,Auch,Canet Roussillon,2° tempo,Ospite,Canet Roussillon,0nwlQYWa,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coppa di Francia,7° turno,15.11.2025,Gouzon Avenir,Chauvigny,Totale,Casa,Gouzon Avenir,APCFgTRH,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coppa di Francia,7° turno,15.11.2025,Gouzon Avenir,Chauvigny,Totale,Ospite,Chauvigny,APCFgTRH,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coppa di Francia,7° turno,15.11.2025,Gouzon Avenir,Chauvigny,1° tempo,Casa,Gouzon Avenir,APCFgTRH,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
