Competizione,Turno,Data,Casa,Ospite,Periodo,Minuto,Lato,Tipo evento,Giocatore,Punteggio dopo,ID partita
Coppa di Francia,7° turno,15.11.2025,FC Rhone,Grasse,Rigori,5,Ospite,Rigore sbagliato,,,IN9n8y0f
Coppa di Francia,7° turno,15.11.2025,Orvault,Les Herbiers,1 Tempo,12',Ospite,Gol,Adekalom N.,0-1,YBoXXPY8
Coppa di Francia,7° turno,15.11.2025,Orvault,Les Herbiers,2 Tempo,64',Ospite,Gol,Fiquet A.,0-2,YBoXXPY8
Coppa di Francia,7° turno,15.11.2025,Orvault,Les Herbiers,2 Tempo,73',Casa,Gol,Maiga M.,1-2,YBoXXPY8
Coppa di Francia,7° turno,15.11.2025,Orvault,Les Herbiers,2 Tempo,86',Ospite,Gol,Lebas B.,1-3,YBoXXPY8
Coppa di Francia,7° turno,15.11.2025,APM Metz,Fleury-Merogis,1 Tempo,35',Casa,Gol,Becker S.,1-0,I79bOvX8
Coppa di Francia,7° turno,15.11.2025,APM Metz,Fleury-Merogis,2 Tempo,51',Ospite,Gol,Homssa N.,1-1,I79bOvX8
Coppa di Francia,7° turno,15.11.2025,APM Metz,Fleury-Merogis,2 Tempo,55',Casa,Gol,Jacquel T.,2-1,I79bOvX8
Coppa di Francia,7° turno,15.11.2025,APM Metz,Fleury-Merogis,2 Tempo,90',Ospite,Gol,Bloudeau T.,2-2,I79bOvX8
Coppa di Francia,7° turno,15.11.2025,Atlas Paillade,Bourg en Bresse,1 Tempo,20',Casa,Cartellino Rosso,Arim M.,,QZibfJpm
Coppa di Francia,7° turno,15.11.2025,Atlas Paillade,Bourg en Bresse,1 Tempo,38',Ospite,Gol,Boumaaoui M.,0-1,QZibfJpm
Coppa di Francia,7° turno,15.11.2025,Atlas Paillade,Bourg en Bresse,2 Tempo,47',Ospite,Gol,Guel M.,0-2,QZibfJpm
Coppa di Francia,7° turno,15.11.2025,Bayeux,Caen,1 Tempo,23',Ospite,Gol,Botella I.,0-1,z7ELNQhB
Coppa di Francia,7° turno,15.11.2025,Bayeux,Caen,1 Tempo,27',Casa,Gol,Renaux B.,1-1,z7ELNQhB
Coppa di Francia,7° turno,15.11.2025,Bayeux,Caen,2 Tempo,47',Casa,Gol,Guillotte R.,2-1,z7ELNQhB
Coppa di Francia,7° turno,15.11.2025,Bayeux,Caen,2 Tempo,51',Casa,Gol,Aubel P.,3-1,z7ELNQhB
Coppa di Francia,7° turno,15.11.2025,Bayeux,Caen,2 Tempo,72',Ospite,Gol,Vinicius Gomes,3-2,z7ELNQhB
Coppa di Francia,7° turno,15.11.2025,Cambrai,Feignies-Aulnoye,1 Tempo,42',Ospite,Gol,De Parmentier T.,0-1,prRc66BN
Coppa di Francia,7° turno,15.11.2025,Cambrai,Feignies-Aulnoye,2 Tempo,71',Ospite,Gol,Dufour P.,0-2,prRc66BN
Coppa di Francia,7° turno,15.11.2025,Cambrai,Feignies-Aulnoye,2 Tempo,76',Ospite,Gol,Dufour P.,0-3,prRc66BN
Coppa di Francia,7° turno,15.11.2025,Cambrai,Feignies-Aulnoye,2 Tempo,86',Ospite,Gol,Bonte N.,0-4,prRc66BN
Coppa di Francia,7° turno,15.11.2025,Challans,Pontivy,1 Tempo,29',Ospite,Gol,Gomis V.,0-1,QeowCrCk
Coppa di Francia,7° turno,15.11.2025,Challans,Pontivy,2 Tempo,56',Ospite,Gol,Mangan C.,0-2,QeowCrCk
Coppa di Francia,7° turno,15.11.2025,Challans,Pontivy,2 Tempo,83',Casa,Cartellino Rosso,Connan H.,,QeowCrCk
Coppa di Francia,7° turno,15.11.2025,FC 2 Rives 82,Mazeres,2 Tempo,58',Ospite,Gol,Lagui A.,0-1,2BZ4MjWO
Coppa di Francia,7° turno,15.11.2025,Besancon,Thionville,1 Tempo,17',Casa,Gol,Etoughe P.,1-0,EX9ir7ho
Coppa di Francia,7° turno,15.11.2025,Besancon,Thionville,1 Tempo,25',Casa,Gol,Dias R.,2-0,EX9ir7ho
Coppa di Francia,7° turno,15.11.2025,Besancon,Thionville,2 Tempo,80',Casa,Gol,Bernal Madruga D.,3-0,EX9ir7ho
Coppa di Francia,7° turno,15.11.2025,Besancon,Thionville,2 Tempo,88',Casa,Gol,Etoughe P.,4-0,EX9ir7ho
