date,season,league,home_team,away_team,home_goals,away_goals,result,home_sot,away_sot,odds_home,odds_draw,odds_away,odds_over25,odds_under25,home_xg,away_xg,home_npxg,home_ppda,home_deep,away_npxg,away_ppda,away_deep,home_squad_value,away_squad_value,home_absent_count_est,home_absent_value_est,away_absent_count_est,away_absent_value_est,odds_home_open,odds_draw_open,odds_away_open,odds_over25_open,odds_under25_open,home_rest_days_full,away_rest_days_full,home_midweek_europe,away_midweek_europe
2022-02-26,2122,bundesliga,Union Berlin,Mainz,3,1,H,3.0,1.0,2.68,3.12,2.88,2.31,1.62,0.883998,0.75947,0.883998,13.421052631578949,3.0,0.75947,13.25,6.0,78000000.0,102050000.0,2.0,11600000.0,1.0,16000000.0,2.66,3.22,2.81,2.18,1.7,7.0,8.0,0,0
2022-02-26,2122,bundesliga,M'gladbach,Wolfsburg,2,2,D,11.0,3.0,2.08,3.49,3.65,1.87,1.96,2.7626,1.26995,2.7626,6.7727272727272725,11.0,1.26995,20.0,1.0,301500000.0,305650000.0,5.0,42100000.0,3.0,28000000.0,2.07,3.53,3.62,1.79,2.05,6.0,7.0,0,0
2022-02-26,2122,bundesliga,Greuther Furth,FC Koln,1,1,D,5.0,5.0,3.78,3.69,1.97,1.75,2.1,0.640559,0.569519,0.640559,9.8,0.0,0.569519,5.904761904761905,7.0,37050000.0,66550000.0,5.0,6700000.0,0.0,0.0,3.56,3.68,2.05,1.7,2.18,6.0,7.0,0,0
2022-02-26,2122,bundesliga,Freiburg,Hertha,3,0,H,5.0,2.0,1.41,4.96,7.43,1.58,2.39,3.66711,1.54627,2.90934,6.0285714285714285,6.0,1.54627,20.133333333333333,10.0,144550000.0,192425000.0,1.0,4000000.0,8.0,58200000.0,1.57,4.3,5.79,1.76,2.1,7.0,6.0,0,0
2022-02-26,2122,bundesliga,Leverkusen,Bielefeld,3,0,H,9.0,3.0,1.34,5.53,8.66,1.49,2.64,3.05247,0.307307,3.05247,6.142857142857143,25.0,0.307307,29.4375,5.0,380500000.0,56750000.0,5.0,50700000.0,0.0,0.0,1.37,5.18,8.62,1.54,2.5,8.0,7.0,0,0
2022-02-27,2122,bundesliga,Bochum,RB Leipzig,0,1,A,2.0,1.0,4.69,3.82,1.77,1.83,2.01,0.998771,0.61309,0.998771,9.347826086956522,3.0,0.61309,10.523809523809524,4.0,40650000.0,552450000.0,1.0,1800000.0,1.0,7500000.0,5.17,4.09,1.65,1.68,2.21,8.0,3.0,0,1
2022-02-27,2122,bundesliga,Augsburg,Dortmund,1,1,D,3.0,7.0,4.01,3.82,1.88,1.7,2.17,0.856029,0.640799,0.856029,10.45,9.0,0.640799,10.823529411764708,2.0,96500000.0,568900000.0,5.0,10000000.0,6.0,258000000.0,5.36,4.23,1.62,1.51,2.59,8.0,3.0,0,1
2022-03-04,2122,bundesliga,Bielefeld,Augsburg,0,1,A,1.0,1.0,2.53,3.24,2.96,2.07,1.78,0.14375,0.308406,0.14375,7.208333333333333,6.0,0.308406,11.8125,3.0,56750000.0,96500000.0,1.0,3000000.0,4.0,7000000.0,2.57,3.23,2.93,2.11,1.75,6.0,5.0,0,0
2022-03-05,2122,bundesliga,Bayern Munich,Leverkusen,1,1,D,6.0,2.0,1.36,6.02,7.16,1.22,4.28,1.6659,2.26407,1.6659,6.923076923076923,14.0,2.26407,15.16,7.0,860400000.0,380500000.0,5.0,176500000.0,6.0,64000000.0,1.4,5.62,6.64,1.26,3.89,7.0,7.0,0,0
2022-03-05,2122,bundesliga,Bochum,Greuther Furth,2,1,H,9.0,2.0,1.75,3.8,4.85,1.89,1.93,1.6566,0.579266,1.6566,6.53125,2.0,0.579266,5.206896551724138,4.0,40650000.0,37050000.0,3.0,5300000.0,4.0,5200000.0,1.79,3.72,4.69,1.97,1.86,3.0,7.0,1,0
2022-03-05,2122,bundesliga,Hertha,Ein Frankfurt,1,4,A,4.0,6.0,3.29,3.62,2.17,1.65,2.26,0.483243,1.37042,0.483243,10.8,5.0,1.37042,11.0,6.0,192425000.0,222550000.0,5.0,41300000.0,4.0,8050000.0,3.3,3.54,2.19,1.73,2.13,7.0,7.0,0,0
2022-03-05,2122,bundesliga,RB Leipzig,Freiburg,1,1,D,5.0,3.0,1.53,4.28,6.47,1.82,2.01,0.753651,0.484924,0.753651,7.041666666666667,14.0,0.484924,35.5,1.0,552450000.0,144550000.0,2.0,7900000.0,1.0,4000000.0,1.63,4.25,5.27,1.66,2.25,3.0,3.0,1,1
2022-03-05,2122,bundesliga,Wolfsburg,Union Berlin,1,0,H,3.0,5.0,2.24,3.21,3.55,2.25,1.66,0.411697,1.55639,0.411697,11.823529411764708,2.0,1.55639,9.8,8.0,305650000.0,78000000.0,2.0,10000000.0,2.0,11600000.0,2.23,3.3,3.44,2.17,1.71,7.0,4.0,0,1
2022-03-05,2122,bundesliga,Stuttgart,M'gladbach,3,2,H,7.0,3.0,2.82,3.54,2.47,1.68,2.2,2.36751,1.20797,2.36751,16.1875,8.0,1.20797,20.58823529411765,4.0,173350000.0,301500000.0,5.0,9800000.0,7.0,55100000.0,3.17,3.65,2.2,1.71,2.17,8.0,7.0,0,0
2022-03-06,2122,bundesliga,FC Koln,Hoffenheim,0,1,A,3.0,3.0,2.89,3.69,2.37,1.53,2.51,1.22016,2.87337,1.22016,12.166666666666666,8.0,2.87337,16.6,5.0,66550000.0,207450000.0,1.0,1500000.0,8.0,32200000.0,2.7,3.52,2.57,1.53,2.53,8.0,9.0,0,0
2022-03-12,2122,bundesliga,M'gladbach,Hertha,2,0,H,5.0,3.0,1.53,4.58,5.89,1.53,2.5,1.75587,0.443109,0.998095,9.571428571428571,6.0,0.443109,9.419354838709678,4.0,301500000.0,192425000.0,3.0,48000000.0,5.0,35000000.0,1.58,4.51,5.21,1.5,2.58,7.0,7.0,0,0
2022-03-12,2122,bundesliga,Union Berlin,Stuttgart,1,1,D,3.0,3.0,2.14,3.32,3.67,2.14,1.73,1.89937,1.73181,1.14159,10.419354838709678,4.0,1.73181,8.73913043478261,2.0,78000000.0,173350000.0,5.0,11400000.0,4.0,4800000.0,2.12,3.48,3.54,1.98,1.84,7.0,7.0,0,0
2022-03-12,2122,bundesliga,Hoffenheim,Bayern Munich,1,1,D,6.0,8.0,5.98,5.48,1.45,1.26,3.92,2.02668,3.98532,2.02668,21.38888888888889,13.0,3.98532,7.5,7.0,207450000.0,860400000.0,8.0,22500000.0,6.0,169000000.0,4.83,4.99,1.58,1.28,3.67,6.0,4.0,0,1
2022-03-12,2122,bundesliga,Freiburg,Wolfsburg,3,2,H,8.0,5.0,2.05,3.54,3.72,1.93,1.89,1.54229,0.908576,1.54229,11.916666666666666,12.0,0.908576,10.571428571428571,10.0,144550000.0,305650000.0,7.0,50000000.0,5.0,26700000.0,2.1,3.52,3.52,2.03,1.8,7.0,7.0,0,0
2022-03-13,2122,bundesliga,Dortmund,Bielefeld,1,0,H,3.0,4.0,1.33,5.58,9.02,1.51,2.56,2.06968,0.691049,2.06968,17.0,11.0,0.691049,17.61111111111111,13.0,568900000.0,56750000.0,8.0,126500000.0,2.0,6500000.0,1.27,6.09,10.71,1.44,2.78,14.0,9.0,0,0
