date,season,league,home_team,away_team,home_goals,away_goals,result,home_sot,away_sot,odds_home,odds_draw,odds_away,odds_over25,odds_under25,home_xg,away_xg,home_npxg,home_ppda,home_deep,away_npxg,away_ppda,away_deep,home_squad_value,away_squad_value,home_absent_count_est,home_absent_value_est,away_absent_count_est,away_absent_value_est,odds_home_open,odds_draw_open,odds_away_open,odds_over25_open,odds_under25_open,home_rest_days_full,away_rest_days_full,home_midweek_europe,away_midweek_europe
2021-02-03,2021,ligue_1,Reims,Angers,0,0,D,2,2,2.57,3.01,3.01,2.45,1.54,0.556903,0.251964,0.556903,12.842105263157896,4.0,0.251964,21.11764705882353,0.0,73325000.0,95700000.0,1.0,2000000.0,5.0,43000000.0,2.64,3.03,2.9,2.53,1.51,3.0,3.0,0,0
2021-02-03,2021,ligue_1,Rennes,Lorient,1,1,D,6,3,1.65,3.8,5.43,2.01,1.8,1.03454,0.620552,1.03454,9.23076923076923,11.0,0.620552,22.866666666666667,4.0,215200000.0,43375000.0,2.0,6000000.0,3.0,7000000.0,1.61,4.03,5.49,1.94,1.87,10.0,3.0,0,0
2021-02-03,2021,ligue_1,Bordeaux,Lille,0,3,A,4,6,3.88,3.17,2.1,2.38,1.57,0.746258,1.99926,0.746258,18.625,2.0,1.99926,12.787878787878787,5.0,95100000.0,228900000.0,2.0,22500000.0,2.0,22000000.0,3.9,3.15,2.09,2.37,1.58,5.0,3.0,0,0
2021-02-03,2021,ligue_1,Dijon,Lyon,0,1,A,2,8,9.5,5.83,1.29,1.42,2.82,0.998017,2.26364,0.998017,14.566666666666666,5.0,2.26364,8.035714285714286,12.0,63475000.0,366200000.0,3.0,8100000.0,1.0,20000000.0,8.62,5.08,1.35,1.59,2.34,3.0,5.0,0,0
2021-02-03,2021,ligue_1,Monaco,Nice,2,1,H,6,2,1.48,4.53,6.52,1.65,2.23,2.7347,0.426701,1.97467,11.96774193548387,11.0,0.426701,8.291666666666666,3.0,307450000.0,210650000.0,1.0,20000000.0,2.0,17000000.0,1.5,4.57,6.06,1.61,2.31,3.0,3.0,0,0
2021-02-03,2021,ligue_1,St Etienne,Nantes,1,1,D,8,6,2.04,3.34,3.8,2.09,1.74,1.50363,1.25487,1.50363,10.5,3.0,1.25487,6.6571428571428575,3.0,96675000.0,88700000.0,2.0,30000000.0,0.0,0.0,2.11,3.19,3.78,2.22,1.66,3.0,3.0,0,0
2021-02-03,2021,ligue_1,Paris SG,Nimes,3,0,H,6,6,1.14,8.91,16.21,1.25,3.87,1.69188,1.73501,1.69188,7.064516129032258,1.0,1.73501,23.13636363636364,2.0,843250000.0,54325000.0,5.0,136000000.0,2.0,2800000.0,1.07,12.25,26.53,1.22,4.18,3.0,3.0,0,0
2021-02-03,2021,ligue_1,Lens,Marseille,2,2,D,3,4,2.41,3.17,3.12,2.17,1.69,1.53188,1.3201,1.53188,5.206896551724138,7.0,1.3201,12.652173913043478,7.0,46325000.0,281800000.0,1.0,8000000.0,2.0,28000000.0,2.45,3.18,3.01,2.32,1.61,4.0,11.0,0,0
2021-02-06,2021,ligue_1,Lorient,Reims,1,0,H,4,3,2.87,3.15,2.57,2.21,1.66,1.11747,0.779858,1.11747,9.65625,4.0,0.779858,6.965517241379311,4.0,43375000.0,73325000.0,3.0,7000000.0,0.0,0.0,2.54,3.17,2.9,2.25,1.65,3.0,3.0,0,0
2021-02-06,2021,ligue_1,Lyon,Strasbourg,3,0,H,8,1,1.34,5.35,8.48,1.54,2.45,1.59649,0.242033,1.59649,8.444444444444445,9.0,0.242033,19.944444444444443,1.0,366200000.0,99925000.0,3.0,75000000.0,1.0,18000000.0,1.45,4.7,6.62,1.58,2.36,3.0,3.0,0,0
2021-02-06,2021,ligue_1,Lens,Rennes,0,0,D,3,1,2.81,3.05,2.72,2.32,1.6,1.09008,0.549443,1.09008,13.428571428571429,3.0,0.549443,12.48148148148148,4.0,46325000.0,215200000.0,1.0,8000000.0,2.0,6000000.0,2.73,3.18,2.69,2.31,1.62,3.0,3.0,0,0
2021-02-07,2021,ligue_1,Nice,Angers,3,0,H,2,3,2.91,3.11,2.58,2.16,1.69,1.30901,0.620413,1.30901,11.291666666666666,7.0,0.620413,13.12,4.0,210650000.0,95700000.0,4.0,65000000.0,5.0,43000000.0,2.73,3.09,2.76,2.17,1.69,4.0,4.0,0,0
